Sample,Group,Treatment,ug_protein,FIU1,FIU2,FIU3,Average_FIU,FIU_protein,Norm_RT_prot,Norm_final
1,RT,no_prot,36.3553121,6063,6168,,6115.5,168.2147573,1269.365864,0.132518734
2,RT,no_prot,32.07855394,6120,6291,,6205.5,193.4469993,1269.365864,0.152396567
3,RT,no_prot,32.22483385,6256,6306,,6281,194.9117885,1269.365864,0.15355052
4,RT,no_prot,31.36255364,6342,6311,,6326.5,201.7214565,1269.365864,0.158915142
5,RT,no_prot,34.09567305,6348,6297,,6322.5,185.4340869,1269.365864,0.146084035
6,RT,no_prot,30.68889646,6414,6219,,6316.5,205.8236277,1269.365864,0.162146812
7,Cold,no_prot,36.60937661,6554,6229,,6391.5,174.58642,1269.365864,0.137538298
8,Cold,no_prot,25.61144945,6222,6227,,6224.5,243.0358349,1269.365864,0.1914624
9,Cold,no_prot,36.18593384,5762,6390,,6076,167.9105485,1269.365864,0.13227908
10,Cold,no_prot,24.56824525,5725,6136,,5930.5,241.3888309,1269.365864,0.190164899
11,Cold,no_prot,38.16071098,5828,6299,,6063.5,158.8937901,1269.365864,0.125175723
12,Cold,no_prot,37.6795281,5854,6285,,6069.5,161.082166,1269.365864,0.126899715
1,RT,prot+E64D,36.3553121,19422,18621,18044,18695.66667,514.2485537,1269.365864,0.405122407
2,RT,prot+E64D,32.07855394,20669,19295,18753,19572.33333,610.1376444,1269.365864,0.480663347
3,RT,prot+E64D,32.22483385,20677,20005,19310,19997.33333,620.5566001,1269.365864,0.488871347
4,RT,prot+E64D,31.36255364,19624,19483,18648,19251.66667,613.842447,1269.365864,0.483581972
5,RT,prot+E64D,34.09567305,21218,20750,20455,20807.66667,610.272941,1269.365864,0.480769933
6,RT,prot+E64D,30.68889646,19290,19110,18275,18891.66667,615.5863795,1269.365864,0.484955833
7,Cold,prot+E64D,36.60937661,20085,19290,18977,19450.66667,531.3028647,1269.365864,0.418557707
8,Cold,prot+E64D,25.61144945,17960,17476,16910,17448.66667,681.2838415,1269.365864,0.536711961
9,Cold,prot+E64D,36.18593384,20121,21593,20420,20711.33333,572.3586801,1269.365864,0.45090127
10,Cold,prot+E64D,24.56824525,17519,17198,16417,17044.66667,693.7681748,1269.365864,0.546547055
11,Cold,prot+E64D,38.16071098,19150,18371,17288,18269.66667,478.7559298,1269.365864,0.377161497
12,Cold,prot+E64D,37.6795281,18227,18096,17317,17880,474.5282359,1269.365864,0.373830942
1,RT,prot,36.3553121,46881,47394,51279,48518,1334.550502,1269.365864,1.051352128
2,RT,prot,32.07855394,41368,39197,44643,41736,1301.056154,1269.365864,1.02496545
3,RT,prot,32.22483385,39957,38993,44252,41067.33333,1274.400157,1269.365864,1.003965991
4,RT,prot,31.36255364,38139,38563,42256,39652.66667,1264.33157,1269.365864,0.996034009
5,RT,prot,34.09567305,39536,38627,42039,40067.33333,1175.144226,1269.365864,0.925772671
6,RT,prot,30.68889646,37743,36392,39607,37914,1235.430542,1269.365864,0.973265926
7,Cold,prot,36.60937661,44264,43714,46120,44699.33333,1220.980456,1269.365864,0.961882221
8,Cold,prot,25.61144945,36654,35646,38057,36785.66667,1436.297728,1269.365864,1.131508078
9,Cold,prot,36.18593384,40715,40177,43034,41308.66667,1141.566965,1269.365864,0.899320675
10,Cold,prot,24.56824525,31536,33073,34322,32977,1342.261104,1269.365864,1.057426501
11,Cold,prot,38.16071098,37735,38597,41511,39281,1029.357132,1269.365864,0.810922336
12,Cold,prot,37.6795281,40688,41520,45209,42472.33333,1127.199184,1269.365864,0.88800181
