Sample Name,Group,Target Name,Normalized
Sample 11,IgG,Cers1,0.012923171
Sample 12,IgG,Cers1,0.012195835
Sample 13,IgG,Cers1,0.0057024
Sample 18,TFEB-IP,Cers1,0.015135882
Sample 19,TFEB-IP,Cers1,0.019981787
Sample 20,TFEB-IP,Cers1,0.017362063
Sample 11,IgG,Cers1,0.012450625
Sample 12,IgG,Cers1,0.014889936
Sample 13,IgG,Cers1,0.012778331
Sample 18,TFEB-IP,Cers1,0.016798749
Sample 19,TFEB-IP,Cers1,0.017089689
Sample 20,TFEB-IP,Cers1,0.017817057
Sample 11,IgG,Plin2,0.013645642
Sample 12,IgG,Plin2,0.016404208
Sample 13,IgG,Plin2,0.008464607
Sample 18,TFEB-IP,Plin2,0.071094696
Sample 19,TFEB-IP,Plin2,0.069692916
Sample 20,TFEB-IP,Plin2,0.077655908
Sample 11,IgG,Plin2,0.016772923
Sample 12,IgG,Plin2,0.022150956
Sample 13,IgG,Plin2,0.009632131
Sample 18,TFEB-IP,Plin2,0.10461814
Sample 19,TFEB-IP,Plin2,0.074757086
Sample 20,TFEB-IP,Plin2,0.070929362
Sample 11,IgG,Insig2,0.016898304
Sample 12,IgG,Insig2,0.013921562
Sample 13,IgG,Insig2,0.009897484
Sample 18,TFEB-IP,Insig2,0.098253407
Sample 20,TFEB-IP,Insig2,0.052344598
Sample 11,IgG,Insig2,0.02461014
Sample 12,IgG,Insig2,0.020107111
Sample 13,IgG,Insig2,0.007903191
Sample 18,TFEB-IP,Insig2,0.102016133
Sample 19,TFEB-IP,Insig2,0.076749321
Sample 20,TFEB-IP,Insig2,0.057432978
Sample 11,IgG,Ctsa,0.013043504
Sample 12,IgG,Ctsa,0.018877078
Sample 13,IgG,Ctsa,0.007313909
Sample 18,TFEB-IP,Ctsa,0.087471795
Sample 19,TFEB-IP,Ctsa,0.041742922
Sample 20,TFEB-IP,Ctsa,0.056894342
Sample 11,IgG,Ctsa,0.016001653
Sample 12,IgG,Ctsa,0.01651415
Sample 13,IgG,Ctsa,0.009318001
Sample 18,TFEB-IP,Ctsa,0.079925216
Sample 19,TFEB-IP,Ctsa,0.051857478
Sample 20,TFEB-IP,Ctsa,0.044948889
