Reactome pathways	Mus musculus - REFLIST (21997)	upload_1 (6405)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
Synthesis of PE (R-MMU-1483213)	12	12	3.49	+	3.43	5.08E-03	4.91E-02
Glucuronidation (R-MMU-156588)	22	19	6.41	+	2.97	1.01E-03	1.70E-02
Plasma lipoprotein assembly (R-MMU-8963898)	18	15	5.24	+	2.86	3.21E-03	3.81E-02
Peroxisomal lipid metabolism (R-MMU-390918)	28	23	8.15	+	2.82	3.34E-04	7.37E-03
Plasma lipoprotein remodeling (R-MMU-8963899)	27	22	7.86	+	2.8	4.90E-04	9.91E-03
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol (R-MMU-193368)	22	17	6.41	+	2.65	3.38E-03	3.88E-02
Peroxisomal protein import (R-MMU-9033241)	64	49	18.64	+	2.63	1.21E-06	5.87E-05
Xenobiotics (R-MMU-211981)	27	20	7.86	+	2.54	2.40E-03	3.27E-02
"Plasma lipoprotein assembly, remodeling, and clearance (R-MMU-174824)"	60	44	17.47	+	2.52	8.67E-06	3.28E-04
Plasma lipoprotein clearance (R-MMU-8964043)	30	22	8.74	+	2.52	1.38E-03	2.15E-02
Pyruvate metabolism (R-MMU-70268)	28	20	8.15	+	2.45	2.90E-03	3.66E-02
Pyruvate metabolism and Citric Acid (TCA) cycle (R-MMU-71406)	52	37	15.14	+	2.44	6.06E-05	1.81E-03
SUMOylation of intracellular receptors (R-MMU-4090294)	27	19	7.86	+	2.42	4.21E-03	4.47E-02
Metabolism of porphyrins (R-MMU-189445)	27	19	7.86	+	2.42	4.21E-03	4.45E-02
Protein localization (R-MMU-9609507)	104	73	30.28	+	2.41	3.36E-08	2.72E-06
Glyoxylate metabolism and glycine degradation (R-MMU-389661)	30	21	8.74	+	2.4	3.62E-03	4.13E-02
Phase II - Conjugation of compounds (R-MMU-156580)	97	67	28.24	+	2.37	1.54E-07	1.01E-05
Bile acid and bile salt metabolism (R-MMU-194068)	42	29	12.23	+	2.37	5.35E-04	1.07E-02
Synthesis of bile acids and bile salts (R-MMU-192105)	32	22	9.32	+	2.36	2.85E-03	3.64E-02
Signaling by ERBB4 (R-MMU-1236394)	31	21	9.03	+	2.33	4.10E-03	4.41E-02
TBC/RABGAPs (R-MMU-8854214)	34	23	9.9	+	2.32	2.35E-03	3.23E-02
Glutathione conjugation (R-MMU-156590)	33	22	9.61	+	2.29	3.37E-03	3.92E-02
Mitochondrial Fatty Acid Beta-Oxidation (R-MMU-77289)	37	24	10.77	+	2.23	3.16E-03	3.78E-02
PKMTs methylate histone lysines (R-MMU-3214841)	47	30	13.69	+	2.19	1.42E-03	2.20E-02
Biological oxidations (R-MMU-211859)	211	134	61.44	+	2.18	8.03E-12	1.95E-09
Formation of Fibrin Clot (Clotting Cascade) (R-MMU-140877)	38	24	11.06	+	2.17	3.69E-03	4.18E-02
Regulation of HMOX1 expression and activity (R-MMU-9707587)	59	36	17.18	+	2.1	7.72E-04	1.46E-02
Nuclear Receptor transcription pathway (R-MMU-383280)	51	31	14.85	+	2.09	2.04E-03	2.89E-02
COPII-mediated vesicle transport (R-MMU-204005)	68	41	19.8	+	2.07	3.38E-04	7.37E-03
Deadenylation-dependent mRNA decay (R-MMU-429914)	55	33	16.01	+	2.06	1.90E-03	2.81E-02
Transcriptional regulation by RUNX2 (R-MMU-8878166)	60	36	17.47	+	2.06	8.66E-04	1.57E-02
Regulation of ornithine decarboxylase (ODC) (R-MMU-350562)	50	30	14.56	+	2.06	2.83E-03	3.65E-02
Regulation of mRNA stability by proteins that bind AU-rich elements (R-MMU-450531)	82	49	23.88	+	2.05	1.34E-04	3.66E-03
Regulation of RUNX2 expression and activity (R-MMU-8939902)	49	29	14.27	+	2.03	3.92E-03	4.36E-02
Fatty acid metabolism (R-MMU-8978868)	169	100	49.21	+	2.03	6.08E-08	4.70E-06
RNA polymerase II transcribes snRNA genes (R-MMU-6807505)	73	43	21.26	+	2.02	4.77E-04	9.89E-03
ROS sensing by NFE2L2 (R-MMU-8932339)	51	30	14.85	+	2.02	3.11E-03	3.75E-02
Signaling by TGF-beta Receptor Complex (R-MMU-170834)	63	37	18.34	+	2.02	1.08E-03	1.79E-02
Phase I - Functionalization of compounds (R-MMU-211945)	109	64	31.74	+	2.02	1.52E-05	5.51E-04
Sphingolipid de novo biosynthesis (R-MMU-1660661)	46	27	13.39	+	2.02	4.80E-03	4.74E-02
Cytochrome P450 - arranged by substrate type (R-MMU-211897)	72	42	20.96	+	2	6.53E-04	1.28E-02
Golgi Associated Vesicle Biogenesis (R-MMU-432722)	55	32	16.01	+	2	2.81E-03	3.64E-02
Cellular response to hypoxia (R-MMU-1234174)	69	40	20.09	+	1.99	7.82E-04	1.45E-02
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha (R-MMU-1234176)	64	37	18.64	+	1.99	1.20E-03	1.97E-02
Metabolism of amino acids and derivatives (R-MMU-71291)	251	145	73.09	+	1.98	1.93E-10	2.52E-08
AUF1 (hnRNP D0) binds and destabilizes mRNA (R-MMU-450408)	52	30	15.14	+	1.98	4.95E-03	4.86E-02
Regulation of RUNX3 expression and activity (R-MMU-8941858)	52	30	15.14	+	1.98	4.95E-03	4.84E-02
mRNA Splicing - Major Pathway (R-MMU-72163)	180	103	52.41	+	1.97	1.33E-07	9.01E-06
NIK-->noncanonical NF-kB signaling (R-MMU-5676590)	56	32	16.31	+	1.96	3.09E-03	3.78E-02
Dectin-1 mediated noncanonical NF-kB signaling (R-MMU-5607761)	56	32	16.31	+	1.96	3.09E-03	3.76E-02
Signaling by TGFB family members (R-MMU-9006936)	90	51	26.21	+	1.95	2.41E-04	5.70E-03
ABC-family proteins mediated transport (R-MMU-382556)	99	56	28.83	+	1.94	1.46E-04	3.87E-03
Degradation of beta-catenin by the destruction complex (R-MMU-195253)	78	44	22.71	+	1.94	6.87E-04	1.33E-02
mRNA Splicing (R-MMU-72172)	188	106	54.74	+	1.94	1.56E-07	9.84E-06
Transcriptional regulation by RUNX3 (R-MMU-8878159)	80	45	23.29	+	1.93	7.81E-04	1.46E-02
Cellular response to chemical stress (R-MMU-9711123)	143	80	41.64	+	1.92	5.58E-06	2.21E-04
Activation of NF-kappaB in B cells (R-MMU-1169091)	63	35	18.34	+	1.91	3.34E-03	3.92E-02
Regulation of PTEN stability and activity (R-MMU-8948751)	67	37	19.51	+	1.9	3.00E-03	3.72E-02
Metabolism of polyamines (R-MMU-351202)	58	32	16.89	+	1.89	5.07E-03	4.93E-02
trans-Golgi Network Vesicle Budding (R-MMU-199992)	71	39	20.67	+	1.89	1.92E-03	2.81E-02
Signaling by NTRK1 (TRKA) (R-MMU-187037)	62	34	18.05	+	1.88	4.51E-03	4.59E-02
MAPK6/MAPK4 signaling (R-MMU-5687128)	73	40	21.26	+	1.88	2.11E-03	2.96E-02
ER to Golgi Anterograde Transport (R-MMU-199977)	147	80	42.8	+	1.87	1.39E-05	5.15E-04
Cytoprotection by HMOX1 (R-MMU-9707564)	111	60	32.32	+	1.86	2.12E-04	5.14E-03
Metabolism of steroids (R-MMU-8957322)	117	63	34.07	+	1.85	1.50E-04	3.93E-03
