RT,mz,Theo mz,Abundance,Lipid Class,Compound Name
7.867,885.5501,885.5499,7311434,Phosphatidylinositol,PI 18:0_20:4
7.171,859.5344,859.5342,4943050,Phosphatidylinositol,PI 18:1_18:2
8.903,766.5398,766.5392,4527028,Phosphatidylethanolamine,PE 18:0_20:4
11.213,692.6203,NA,4160510,NA,NA
7.139,833.519,833.5186,3878102,Phosphatidylinositol,PI 16:0_18:2
7.174,883.5346,883.5342,3737421,Phosphatidylinositol,PI 18:1_20:4
7.646,762.5084,762.5079,3066512,Phosphatidylethanolamine,PE 16:0_22:6
7.371,850.5609,850.5604,2873691,Phosphatidylcholine,PC 16:0_22:6
7.741,834.53,834.5291,2766302,Phosphatidylserine,PS 18:0_22:6
6.933,857.519,857.5186,2709646,Phosphatidylinositol,PI 16:0_20:4
6.996,883.5339,883.5342,2329387,Phosphatidylinositol,PI 18:1_20:4
8.589,790.5397,790.5392,2294713,Phosphatidylethanolamine,PE 18:0_22:6
0.58,514.2847,NA,2255992,NA,NA
8.798,830.592,830.5917,2225754,Phosphatidylcholine,PC 18:0_18:2
8.657,804.5768,804.576,2076321,Phosphatidylcholine,PC 16:0_18:1
11.311,666.6043,NA,2006994,NA,NA
8.288,887.5661,887.5655,1804772,Phosphatidylinositol,PI 18:0_20:3
7.879,802.5607,802.5604,1757005,Phosphatidylcholine,PC 16:0_18:2
9.069,742.5397,742.5392,1604526,Phosphatidylethanolamine,PE 18:0_18:2
7.67,826.5606,826.5604,1551326,Phosphatidylcholine,PC 16:0_20:4
2.579,540.3312,540.3307,1439102,Lysophophatidylcholine,LPC 16:0/0:0
11.179,760.6076,NA,1427359,NA,NA
8.322,878.5921,878.5917,1422492,Phosphatidylcholine,PC 18:0_22:6
10.389,857.6758,857.6753,1419955,Sphingomyelin,SM d42:2
12.052,694.6357,NA,1404607,NA,NA
3.651,327.2332,NA,1364629,NA,NA
7.997,764.5238,764.5236,1337217,Phosphatidylethanolamine,PE 18:1_20:4
7.981,738.5088,738.5079,1269361,Phosphatidylethanolamine,PE 16:0_20:4
3.756,568.3626,568.362,1238969,Lysophophatidylcholine,LPC 18:0/0:0
8.072,861.5501,861.5499,1164193,Phosphatidylinositol,PI 18:0_18:2
8.143,714.508,714.5079,1157880,Phosphatidylethanolamine,PE 16:0_18:2
8.04,810.5292,810.5291,1154071,Phosphatidylserine,PS 18:0_20:4
8.166,740.5241,740.5236,1047386,Phosphatidylethanolamine,PE 18:1_18:2
10.5,831.6602,831.6597,1046397,Sphingomyelin,SM d40:1
6.782,806.4982,806.4978,1025635,Phosphatidylserine,PS 16:0_22:6
10.435,690.6047,690.6042,995980,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d42:3
5.338,865.5031,865.5025,921651,Phosphatidylglycerol,PG 22:6_22:6
9.557,832.6078,832.6073,916231,Phosphatidylcholine,PC 18:0_18:1
7.707,788.5249,788.5236,839123,Phosphatidylethanolamine,PE 18:1_22:6
12.956,1447.9656,1447.9649,793076,Cardiolipin,CL 72:8
0.675,498.29,NA,782321,NA,NA
8.617,854.5922,854.5917,717174,Phosphatidylcholine,PC 18:0_20:4
3.826,480.3101,480.3096,693425,Lysophosphatidylethanolamine,LPE 18:0
11.297,859.6915,859.691,689340,Sphingomyelin,SM d42:1
8.094,828.5764,828.576,654048,Phosphatidylcholine,PC 16:0_20:3
0.582,187.0423,NA,638704,NA,NA
12.042,762.6233,NA,608164,NA,NA
6.746,588.4671,NA,601676,NA,NA
8.631,887.5659,887.5655,596930,Phosphatidylinositol,PI 18:0_20:3
3.163,599.3205,599.3202,571471,Lysophosphatidylinositol,LPI 18:0
7.139,857.5188,857.5186,536450,Phosphatidylinositol,PI 16:0_20:4
13.373,1449.9807,1449.9806,535176,Cardiolipin,CL 72:7
11.693,680.6203,NA,528523,NA,NA
8.375,722.5133,722.513,523308,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_20:4
6.306,819.5186,819.5182,503741,Phosphatidylglycerol,PG 18:1_22:6
7.117,782.4981,782.4978,495582,Phosphatidylserine,PS 16:0_20:4
9.284,750.5446,750.5443,486397,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_20:4
7.627,909.5508,909.5499,486132,Phosphatidylinositol,PI 18:0_22:6
10.899,845.6757,845.6753,485867,Sphingomyelin,SM d41:1
0.575,512.2692,NA,470514,NA,NA
9.254,768.5552,768.5549,457819,Phosphatidylethanolamine,PE 18:0_20:3
11.324,734.5919,NA,456892,NA,NA
3.804,303.2332,NA,454044,NA,NA
6.961,800.5449,800.5447,451768,Phosphatidylcholine,PC 16:1_18:2
13.783,1451.9965,1451.9962,449368,Cardiolipin,CL 72:6
7.425,876.5764,876.576,443202,Phosphatidylcholine,PC 18:1_22:6
1.34,619.2892,619.2889,443135,Lysophosphatidylinositol,LPI 20:4
7.021,824.5448,824.5447,437878,Phosphatidylcholine,PC 16:0_20:5
10.486,638.5732,NA,431219,NA,NA
7.446,871.5346,871.5342,424210,Phosphatidylinositol,PI 17:0_20:4
9.784,744.5551,744.5549,415632,Phosphatidylethanolamine,PE 18:0_18:1
11.689,748.6076,NA,400705,NA,NA
8.221,764.5238,764.5236,400550,Phosphatidylethanolamine,PE 38:5
11.093,910.6605,NA,396932,NA,NA
7.996,747.518,747.5182,396913,Phosphatidylglycerol,PG 16:0_18:1
10.393,664.5889,NA,391031,NA,NA
6.708,760.4926,760.4923,390155,Phosphatidylethanolamine,PE 16:1_22:6
9.031,856.6078,856.6073,381618,Phosphatidylcholine,PC 18:0_20:3
4.479,281.2488,281.2486,379503,Free fatty acid,FA 18:1
6.657,874.5605,874.5604,379218,Phosphatidylcholine,PC 18:2_22:6
7.186,762.5082,762.5079,374880,Phosphatidylethanolamine,PE 18:2_20:4
8.934,716.5242,716.5236,372975,Phosphatidylethanolamine,PE 16:0_18:1
11.108,842.673,842.6727,361425,Hexosylceramide non-hydroxyfatty acid-dihydrosphingosine,HexCer_NDS d41:1
10.514,664.5889,NA,359131,NA,NA
8.983,788.5452,788.5447,358978,Phosphatidylserine,PS 18:0_18:1
7.236,736.4925,736.4923,357486,Phosphatidylethanolamine,PE 16:0_20:5
7.128,826.5605,826.5604,356529,Phosphatidylcholine,PC 18:2_18:2
6.506,848.545,848.5447,352921,Phosphatidylcholine,PC 16:1_22:6
7.195,712.4926,712.4923,352861,Phosphatidylethanolamine,PE 16:1_18:2
8.219,786.5292,786.5291,347468,Phosphatidylserine,PS 18:0_18:2
1.816,564.3311,564.3307,346332,Lysophophatidylcholine,LPC 18:2/0:0
7.725,852.5769,852.576,344689,Phosphatidylcholine,PC 18:1_20:4
8.061,575.5386,NA,324918,NA,NA
7.911,828.5762,828.576,322174,Phosphatidylcholine,PC 18:1_18:2
8.383,899.5657,899.5655,318029,Phosphatidylinositol,PI 19:0_20:4
7.293,745.5028,745.5025,313925,Phosphatidylglycerol,PG 16:0_18:2
10.604,854.6728,854.6727,312298,Hexosylceramide non-hydroxyfatty acid-dihydrosphingosine,HexCer_NDS d42:2
10.715,828.6574,828.657,308770,Hexosylceramide non-hydroxyfatty acid-dihydrosphingosine,HexCer_NDS d40:1
7.31,762.5082,762.5079,308536,Phosphatidylethanolamine,PE 18:1_20:5
