"","Lipid","sig_FDR","diffexpressed","FC","p_val","log_p","delabel","label","log_FC","q_val","my_color"
"1","6.626_773.5573",TRUE,"UP",2.213667109,1.10877e-06,5.95515853328306,NA,NA,1.14643828611956,0.000154039832142857,"red"
"2","8.674_638.4886",TRUE,"UP",1.809922736,2.31387e-06,5.63566104463605,NA,NA,0.855928111248343,0.00030003181,"red"
"3","6.264_771.5417",TRUE,"UP",2.109140428,5.88312e-06,5.23039229306992,NA,NA,1.07665515394365,0.000715166775,"red"
"4","7.131_739.5155",TRUE,"UP",1.752389844,9.45928e-06,5.02414191898162,NA,NA,0.809323758638319,0.00108225291764706,"red"
"5","7.349_775.572",TRUE,"UP",2.45793293,2.92696e-05,4.53358321261847,NA,NA,1.29744554920262,0.00314141044736842,"red"
"6","8.367_537.5122",TRUE,"UP",1.314291074,3.06873e-05,4.51304132097465,NA,NA,0.394284822473153,0.00314141044736842,"red"
"7","9.955_719.6429",TRUE,"UP",2.592554857,4.1261e-05,4.38446025069105,NA,NA,1.37437451597565,0.00401263225,"red"
"8","9.346_565.5439",TRUE,"UP",1.887689928,5.36923e-05,4.27008799190352,NA,NA,0.916621807033073,0.0048625,"red"
"9","10.982_738.5791",TRUE,"UP",2.250529344,6.28683e-05,4.20156828309822,NA,NA,1.1702643757287,0.0048625,"red"
"10","8.202_1248.9032",TRUE,"UP",2.170692504,0.000116047,3.93536608226783,NA,NA,1.11815537110544,0.00550515646341463,"red"
"11","7.85_636.473",TRUE,"UP",1.621190313,0.000159865,3.79624660799037,NA,NA,0.697053460075103,0.00724198647727273,"red"
"12","9.112_771.6142",TRUE,"UP",1.867839099,0.000161292,3.79238717285913,NA,NA,0.901370182524714,0.00724198647727273,"red"
"13","8.245_602.4323",TRUE,"UP",1.994702771,0.000163829,3.78560921963784,NA,NA,0.996173787675144,0.00724198647727273,"red"
"14","7.551_626.43",TRUE,"UP",2.253727086,0.000180894,3.7425758378395,NA,NA,1.17231282362335,0.00762745098039216,"red"
"15","6.993_632.4416",TRUE,"UP",4.042510822,0.000196211,3.70727664881444,NA,NA,2.01525163586958,0.00762745098039216,"red"
"16","8.223_581.5016",TRUE,"UP",2.077010011,0.000246252,3.60862023357985,NA,NA,1.05450816985865,0.00897692307692308,"red"
"17","6.683_729.5313",TRUE,"UP",1.747804288,0.000268903,3.57040435256964,NA,NA,0.805543646772375,0.00897692307692308,"red"
"18","7.555_610.4578",TRUE,"UP",2.561533666,0.000310825,3.50748405767871,NA,NA,1.35700785312454,0.00915991856060606,"red"
"19","7.681_783.5782",TRUE,"UP",1.333163598,0.000318112,3.49741994788262,NA,NA,0.414853830345183,0.00923474388059702,"red"
"20","7.579_605.5019",TRUE,"UP",2.078596839,0.000342503,3.46533562014896,NA,NA,1.05560996272802,0.00948780487804878,"red"
"21","6.976_708.4732",TRUE,"UP",1.520821341,0.000381846,3.41811175445781,NA,NA,0.604850681930011,0.00948780487804878,"red"
"22","7.868_652.4473",TRUE,"UP",1.823401526,0.000382003,3.41793322641204,NA,NA,0.866632288082238,0.00948780487804878,"red"
"23","7.517_584.4416",TRUE,"UP",4.783666604,0.000384616,3.4149726531002,NA,NA,2.25811684490461,0.00948780487804878,"red"
"24","8.275_612.473",TRUE,"UP",2.500876729,0.000408911,3.3883712064546,NA,NA,1.32243394722566,0.00958231198795181,"red"
"25","8.803_827.4996",TRUE,"UP",1.367142203,0.000556921,3.2542064057192,NA,NA,0.451163312360889,0.012170913988764,"red"
"26","7.68_1184.3436",TRUE,"UP",1.60876056,0.000565053,3.24791081496282,NA,NA,0.685949618413113,0.0122114231666667,"red"
"27","6.122_753.5309",TRUE,"UP",1.677294667,0.000618865,3.2084040782002,NA,NA,0.746136163723592,0.0126704465789474,"red"
"28","8.083_891.6467",TRUE,"UP",1.277460688,0.000645991,3.18977353258938,NA,NA,0.353278894998432,0.0130880468229167,"red"
"29","8.634_819.6141",TRUE,"UP",1.416152142,0.000726102,3.13900236700569,NA,NA,0.501976267340382,0.0138457685294118,"red"
"30","8.281_607.5175",TRUE,"UP",2.637725661,0.000747136,3.12660033704197,NA,NA,1.39929452361288,0.0141085390291262,"red"
"31","7.089_608.4423",TRUE,"UP",1.929053891,0.000798814,3.09755433229725,NA,NA,0.947893447789521,0.0141454545454545,"red"
"32","7.964_602.528",TRUE,"UP",1.924949869,0.000866757,3.06210264225986,NA,NA,0.944820874541647,0.0144669421487603,"red"
"33","7.815_674.4889",TRUE,"UP",4.756593153,0.000887446,3.05185806375514,NA,NA,2.24992863214276,0.0144669421487603,"red"
"34","8.273_628.447",TRUE,"UP",2.046248832,0.000892123,3.04957526385411,NA,NA,1.03298159320851,0.0144669421487603,"red"
"35","10.01_668.5355",TRUE,"UP",1.548864332,0.000937348,3.02809914292106,NA,NA,0.631210781233593,0.0149437857377049,"red"
"36","9.666_567.5611",TRUE,"UP",3.631052002,0.001098179,2.95932686537197,NA,NA,1.8603875917989,0.0169801587301587,"red"
"37","10.983_1059.8815",TRUE,"UP",1.433287591,0.001116894,2.9519880421033,NA,NA,0.519328117263002,0.0171051876377953,"red"
"38","8.577_638.5448",TRUE,"UP",1.381537119,0.001146905,2.94047255392477,NA,NA,0.466274324856022,0.0174275798828125,"red"
