Lipid,log2(FC),-log10(p),sig_FDR,diffexpressed,delabel,label,FC,p_val
ACar 14:0,1.598984459,2.8552,TRUE,UP,ACar 14:0,sig,3.0293,0.0014
ACar 16:0,0.88041126,2.8617,TRUE,UP,ACar 16:0,sig,1.8409,0.0014
ACar 18:0,0.490878146,1.6053,TRUE,UP,ACar 18:0,sig,1.4053,0.0248
ACar 18:1,0.40958102,2.2851,TRUE,UP,ACar 18:1,sig,1.3283,0.0052
ACar 18:2,1.121943734,2.3552,TRUE,UP,ACar 18:2,sig,2.1764,0.0044
ACar 20:1,-0.239055226,0.3393,FALSE,NO,NA,not,0.8473,0.4578
ACar 20:2,-0.17869796,0.2432,FALSE,NO,NA,not,0.8835,0.5712
ACar 20:4,1.166072676,2.2536,TRUE,UP,ACar 20:4,sig,2.244,0.0056
BMP 18:2_22:6,0.282973489,1.5512,TRUE,UP,BMP 18:2_22:6,sig,1.2167,0.0281
BMP 22:6_22:6,-0.349970759,0.8373,FALSE,NO,NA,not,0.7846,0.1454
Cer_NS d17:1_22:0,0.385044426,1.0981,TRUE,UP,Cer_NS d17:1_22:0,sig,1.3059,0.0798
Cer_NS d18:1_20:0,0.421694581,1.6029,TRUE,UP,Cer_NS d18:1_20:0,sig,1.3395,0.025
Cer_NS d18:1_22:0,0.310107409,1.4002,TRUE,UP,Cer_NS d18:1_22:0,sig,1.2398,0.0398
Cer_NS d18:1_22:1,0.148999163,0.2263,FALSE,NO,NA,not,1.1088,0.5939
Cer_NS d18:1_23:0,0.522055749,2.1974,TRUE,UP,Cer_NS d18:1_23:0,sig,1.436,0.0063
Cer_NS d18:1_24:0,0.354790649,1.71,TRUE,UP,Cer_NS d18:1_24:0,sig,1.2788,0.0195
Cer_NS d18:1_24:1,0.397802962,1.5271,TRUE,UP,Cer_NS d18:1_24:1,sig,1.3175,0.0297
Cer_NS d18:2_22:0,0.291014101,0.8822,TRUE,UP,Cer_NS d18:2_22:0,sig,1.2235,0.1312
Cer_NS d18:2_24:1,0.45785691,1.7355,TRUE,UP,Cer_NS d18:2_24:1,sig,1.3735,0.0184
Cer_NS d36:2,1.01720929,3.0209,TRUE,UP,Cer_NS d36:2,sig,2.024,0.001
Cer_NS d40:1,0.95836015,3.5596,TRUE,UP,Cer_NS d40:1,sig,1.9431,3.00E-04
Cer_NS d41:3,0.700528497,0.647,FALSE,NO,NA,not,1.6251,0.2254
Cer_NS d42:4,0.451857294,1.0064,TRUE,UP,Cer_NS d42:4,sig,1.3678,0.0985
Cer_NS d43:2,0.652784755,3.2182,TRUE,UP,Cer_NS d43:2,sig,1.5722,6.00E-04
CL 68:2,0.242328116,0.3792,FALSE,NO,NA,not,1.1829,0.4176
CL 68:3,0.162467868,0.1823,FALSE,NO,NA,not,1.1192,0.6572
CL 68:4,0.035905384,0.0638,FALSE,NO,NA,not,1.0252,0.8634
CL 68:5,-0.069451881,0.1363,FALSE,NO,NA,not,0.953,0.7306
CL 68:6,-0.116535582,0.2406,FALSE,NO,NA,not,0.9224,0.5746
CL 70:3,0.324234562,0.4157,FALSE,NO,NA,not,1.252,0.384
CL 70:4,0.311270591,0.4294,FALSE,NO,NA,not,1.2408,0.372
CL 70:5,0.037593076,0.08,FALSE,NO,NA,not,1.0264,0.8318
CL 70:5_2,0.215740713,0.3424,FALSE,NO,NA,not,1.1613,0.4546
CL 70:6,-0.090034933,0.2828,FALSE,NO,NA,not,0.9395,0.5214
CL 70:6_2,0.159500022,0.2706,FALSE,NO,NA,not,1.1169,0.5363
CL 70:7,0.015497569,0.0356,FALSE,NO,NA,not,1.0108,0.9213
CL 70:9,-0.129576094,0.3777,FALSE,NO,NA,not,0.9141,0.4191
CL 72:10,0.03885755,0.0764,FALSE,NO,NA,not,1.0273,0.8387
CL 72:5,0.250840334,0.3297,FALSE,NO,NA,not,1.1899,0.4681
CL 72:6,0.106884289,0.2414,FALSE,NO,NA,not,1.0769,0.5736
CL 72:7,-0.037710112,0.1009,FALSE,NO,NA,not,0.9742,0.7927
CL 72:8,0.10701825,0.3328,FALSE,NO,NA,not,1.077,0.4647
CL 72:9,0.077242999,0.1391,FALSE,NO,NA,not,1.055,0.7259
CL 72:9_2,0.111164889,0.165,FALSE,NO,NA,not,1.0801,0.6839
CL 74:10,0.005184376,0.0143,FALSE,NO,NA,not,1.0036,0.9676
CL 74:11,-0.114347549,0.3798,FALSE,NO,NA,not,0.9238,0.4171
CL 74:12,0.03801469,0.0665,FALSE,NO,NA,not,1.0267,0.858
