Compound Name, RT, Mass,COLD,RT, Liver 07 45x pos 080921 052, Liver 08 45x pos 080921 050, Liver 09 45x pos 080921 065, Liver 10 45x pos 080921 057, Liver 11 45x pos 080921 056, Liver 12 45x pos 080921 062, Liver 01 45x pos 080921 064, Liver 02 45x pos 080921 063, Liver 03 45x pos 080921 059, Liver 04 45x pos 080921 058, Liver 05 5x pos 080921 068, Liver 06 45x pos 080921 051,FC,P_VAL,log_FC
,6.626,773.5573,19096.31,8626.55,21181.07,18492.47,19026.57,18624.32,22002.28,19166.05,7136.062,7685.662,8851.007,8708.41,12974.86,8544.69,2.213667109,1.10877E-06,1.146438286
,8.674,638.4886,8429.3975,4657.3245,8761.176,8650.567,8152.62,7902.67,8505.419,8353.376,5261.326,3890.689,4953.114,5535.066,4361.535,3034.883,1.809922736,2.31387E-06,0.855928111
,6.264,771.5417,10316.64,4891.3955,12711.81,10233.46,8479.665,10399.82,9820.208,10605.41,5390.193,3841.571,5201.082,3913.083,5730.319,4581.709,2.109140428,5.88312E-06,1.076655154
,7.131,739.5155,92072.455,52541.08,108397.3,80407.77,101872.5,91489.98,90251.76,92654.93,44690.46,36007.88,55638.09,58066.05,57898.84,49444.07,1.752389844,9.45928E-06,0.809323759
,7.349,775.572,13847.87,5633.9495,14706.89,10061.63,14057.32,13638.42,15999.84,11492.14,5032.403,4363.557,6235.496,6669.555,7865.913,4854.543,2.45793293,2.92696E-05,1.297445549
,8.367,537.5122,8890.152,6764.2185,9039.395,9812.03,8576.705,7969.235,9602.05,8740.909,7112.321,6752.083,6628.14,7096.681,6776.354,6313.411,1.314291074,3.06873E-05,0.394284823
,9.955,719.6429,3991.0995,1539.4465,4363.127,3779.518,4202.681,2896.859,4209.001,3166.273,2148.671,1282,2248.871,1298.264,1590.851,1488.042,2.592554857,4.1261E-05,1.374374516
,9.346,565.5439,9951.4105,5271.74,10175.56,12479.85,11888.92,8296.692,9198.591,9727.261,5343.023,2782.316,4862.993,5484.963,5989.652,5200.457,1.887689928,5.36923E-05,0.916621807
,10.982,738.5791,3028.6915,1345.7685,2756.834,3260.602,2895.741,3453.853,2230.852,3161.642,1383.056,1390.402,1341,0.001,1350.537,1020.753,2.250529344,6.28683E-05,1.170264376
,8.202,1248.9032,12699.91,5850.626,16149.4,10258.83,11192.29,12388.55,15503.12,13011.27,8249.742,4235.004,7090.593,6870.365,4830.887,4625.681,2.170692504,0.000116047,1.118155371
,7.85,636.473,16123.1,9945.2235,17098.83,13349.42,15147.37,13556.78,17671.55,17538.7,9722.057,9301.183,8773.638,11491.57,11730.56,10168.39,1.621190313,0.000159865,0.69705346
,9.112,771.6142,30731.51,16452.975,36036.39,31839.64,23112.57,31698.71,29764.31,27053.71,11841.6,15585.57,7322.75,17320.38,18494.58,18608.13,1.867839099,0.000161292,0.901370183
,8.245,602.4323,5855.6325,2935.5915,7179.084,5475.701,5150.447,6232.201,5942.858,5768.407,4345.653,1965.56,3847.669,3310.52,2560.663,1777.001,1.994702771,0.000163829,0.996173788
,7.551,626.43,3350.278,1486.55,4501.351,4187.959,2867.775,2739.129,3832.781,2582.942,1572.455,1231.192,1477.277,1741.517,1495.823,1181.692,2.253727086,0.000180894,1.172312824
,6.993,632.4416,1884.89,466.26715,2134.773,1961.044,1812.125,1839.641,1930.139,1786.44,932.5333,0.001,947.6334,0.001,1247.964,0.001,4.042510822,0.000196211,2.015251636
,8.223,581.5016,5902.1625,2841.663,8500.362,6109.208,5695.117,5044.118,7563.899,5592.451,4268.543,2042.376,3074.393,3175.806,2608.933,2429.373,2.077010011,0.000246252,1.05450817
,6.683,729.5313,234125.9,133954.3,270282.3,220504.8,233835.8,235381.8,234416,199097,142512.1,65063.43,159897.1,175875.8,125396.5,114188.1,1.747804288,0.000268903,0.805543647
,7.555,610.4578,9246.1465,3609.6135,10342.64,8960.687,9531.606,5691.219,9766.943,6011.604,3982.544,3301.823,4887.297,3917.404,2561.491,2794.14,2.561533666,0.000310825,1.357007853
,7.681,783.5782,2684881.5,2013917.5,2937777,2615042,2938446,2489593,2519580,2754721,2207373,1660484,2023076,2340384,2004759,1791172,1.333163598,0.000318112,0.41485383
,7.579,605.5019,5078.01,2442.999,6421.007,5762.64,4489.122,4201.177,5666.898,3853.229,3281.823,1632.044,2913.124,2495.076,2390.922,1428.74,2.078596839,0.000342503,1.055609963
,6.976,708.4732,5732.9155,3769.618,5603.567,6868.342,5862.264,5276.599,6667.197,4677.057,3983.527,2806.242,3663.803,3875.433,4419.539,3413.42,1.520821341,0.000381846,0.604850681
,7.868,652.4473,6581.7775,3609.615,7129.11,4746.277,6475.415,5264.031,6962.125,6688.14,3394.791,4182.589,2750.686,3096.039,4629.739,3824.439,1.823401526,0.000382003,0.866632288
,7.517,584.4416,2848.2525,595.412,2931.852,1853.734,3998.315,2225.335,3661.724,2764.653,1202.245,0.001,1190.823,1353,0.001,0.001,4.783666604,0.000384616,2.258116845
,8.275,612.473,104751.21,41885.795,130153.9,118040.1,79750.11,93938.72,115563.7,75358.03,59638.24,28225.43,64548.84,48742.86,35028.73,29498.99,2.500876729,0.000408911,1.322433947
,8.803,827.4996,3942.564,2883.7995,3976.799,3392.023,4001.963,3908.329,4012.661,3703.79,2843.16,2526.471,3310.946,2924.439,3449.684,2762.881,1.367142203,0.000556921,0.451163312
,7.68,1184.3436,4327.179,2689.7595,4176.928,3275.093,4360.736,4714.662,4293.622,4695.87,3059.59,1600.751,3267.487,2399.497,2980.022,2339.475,1.60876056,0.000565053,0.685949619
,6.122,753.5309,51171.585,30508.405,54443.5,53768.15,48105.95,53311.27,49031.9,39083.14,32376.7,16957.9,39105.15,36322.11,28640.11,24607,1.677294667,0.000618865,0.746136164
,8.083,891.6467,4350.3285,3405.45,4420.991,4279.666,3924.298,3904.788,4558.667,4503.885,2880.925,3135.02,3386.878,3857.531,3424.022,3582.927,1.277460688,0.000645991,0.353278895
,8.634,819.6141,37399.87,26409.5,41229.25,41674.51,29984.71,36002.82,38796.92,32952.49,26664.25,21980.88,29832.93,26079.62,26154.75,27364.31,1.416152142,0.000726102,0.501976268
,8.281,607.5175,36431.37,13811.66,44266.93,38246.09,27280.55,34616.65,40111.84,20906.18,18209.77,8589.765,22045.75,16149.69,11473.63,8829.855,2.637725661,0.000747136,1.399294523
,7.089,608.4423,2745.579,1423.2775,2614.448,1630.076,3102.685,2376.651,2935.328,2876.71,1803.509,1275.8,1609.655,1269.917,1570.755,1185.004,1.929053891,0.000798814,0.947893448
,7.964,602.528,8581.645,4458.1135,11579.17,8219.195,8651.547,8566.56,7949.889,8596.73,4186.767,3683.556,4520.402,4457.12,8175.747,4459.107,1.924949869,0.000866757,0.944820875
,7.815,674.4889,3350.568,704.405,3452.284,3853.69,3248.852,3108.381,3713.687,2336.271,0.001,1408.809,0.001,0.001,2653.419,1535.925,4.756593153,0.000887446,2.249928632
,8.273,628.447,41145.02,20107.535,45671.4,44943.7,29473.47,40994.85,41295.19,30179.94,25613.66,14601.41,27254.06,25664.01,13965.17,13622.75,2.046248832,0.000892123,1.032981593
,10.01,668.5355,10229.38,6604.439,14180.74,10369.45,10089.31,9129.251,12551.72,10003.59,7583.833,3280.648,7165.242,7711.914,6043.636,4098.839,1.548864332,0.000937348,0.631210781
