Feat ID,RT,DT,CCS,Gas,mz,Abundance,Charge,Polarity,Lipid Class,Compound Name,CAS ID,Formula,Mass,Ion Species,Theo mz,ppm Error,Abs ppm Error,Score,Sum Comp,Num Constit,Constit,Constit Abund
1,7.867,,,,885.5501,7311434,-1,Negative,Phosphatidylinositol,PI 18:0_20:4,,C47H83O13P,886.5571,(M-H)-,885.5499,0.3,0.3,94.12,PI 38:4,1,PI 18:0/20:4,100.0
2,7.171,,,,859.5344,4943050,-1,Negative,Phosphatidylinositol,PI 18:1_18:2,,C45H81O13P,860.5415,(M-H)-,859.5342,0.2,0.2,96.59,PI 36:3,2,PI 18:1/18:2,61.7
3,8.903,,,,766.5398,4527028,-1,Negative,Phosphatidylethanolamine,PE 18:0_20:4,,C43H78NO8P,767.5465,(M-H)-,766.5392,0.8,0.8,92.18,PE 38:4,1,PE 18:0/20:4,100.0
4,11.213,,,,692.6203,4160510,-1,Negative,,,,,693.6276,(M-H)-,,,,,,
5,7.139,,,,833.5190,3878102,-1,Negative,Phosphatidylinositol,PI 16:0_18:2,,C43H79O13P,834.5258,(M-H)-,833.5186,0.5,0.5,96.66,PI 34:2,2,PI 16:0/18:2,59.3
6,7.174,,,,883.5346,3737421,-1,Negative,Phosphatidylinositol,PI 18:1_20:4,,C47H81O13P,884.5415,(M-H)-,883.5342,0.5,0.5,96.94,PI 38:5,4,PI 18:1/20:4,35.3
7,7.646,,,,762.5084,3066512,-1,Negative,Phosphatidylethanolamine,PE 16:0_22:6,,C43H74NO8P,763.5152,(M-H)-,762.5079,0.7,0.7,93.37,PE 38:6,1,PE 16:0/22:6,100.0
8,7.371,,,,850.5609,2873691,-1,Negative,Phosphatidylcholine,PC 16:0_22:6,,C46H80NO8P,805.5622,(M+CHO2)-,850.5604,0.6,0.6,91.23,PC 38:6,1,PC 16:0/22:6,100.0
9,7.741,,,,834.5300,2766302,-1,Negative,Phosphatidylserine,PS 18:0_22:6,,C46H78NO10P,835.5363,(M-H)-,834.5291,1.1,1.1,75.08,PS 40:6,1,PS 18:0/22:6,100.0
10,6.933,,,,857.5190,2709646,-1,Negative,Phosphatidylinositol,PI 16:0_20:4,,C45H79O13P,858.5258,(M-H)-,857.5186,0.6,0.6,96.48,PI 36:4,2,PI 16:0/20:4,59.6
11,6.996,,,,883.5339,2329387,-1,Negative,Phosphatidylinositol,PI 18:1_20:4,,C47H81O13P,884.5415,(M-H)-,883.5342,-0.3,0.3,95.78,PI 38:5,2,PI 18:1/20:4,58.6
12,8.589,,,,790.5397,2294713,-1,Negative,Phosphatidylethanolamine,PE 18:0_22:6,,C45H78NO8P,791.5465,(M-H)-,790.5392,0.6,0.6,90.48,PE 40:6,1,PE 18:0/22:6,100.0
13,0.580,,,,514.2847,2255992,-1,Negative,,,,,515.2920,(M-H)-,,,,,,
14,8.798,,,,830.5920,2225754,-1,Negative,Phosphatidylcholine,PC 18:0_18:2,,C44H84NO8P,785.5935,(M+CHO2)-,830.5917,0.5,0.5,94.40,PC 36:2,4,PC 18:0/18:2,55.0
15,8.657,,,,804.5768,2076321,-1,Negative,Phosphatidylcholine,PC 16:0_18:1,,C42H82NO8P,759.5778,(M+CHO2)-,804.5760,1.0,1.0,94.73,PC 34:1,3,PC 16:0/18:1,69.1
16,11.311,,,,666.6043,2006994,-1,Negative,,,,,667.6116,(M-H)-,,,,,,
17,8.288,,,,887.5661,1804772,-1,Negative,Phosphatidylinositol,PI 18:0_20:3,,C47H85O13P,888.5728,(M-H)-,887.5655,0.7,0.7,96.51,PI 38:3,2,PI 18:0/20:3,59.4
18,7.879,,,,802.5607,1757005,-1,Negative,Phosphatidylcholine,PC 16:0_18:2,,C42H80NO8P,757.5622,(M+CHO2)-,802.5604,0.4,0.4,93.70,PC 34:2,2,PC 16:0/18:2,76.2
19,9.069,,,,742.5397,1604526,-1,Negative,Phosphatidylethanolamine,PE 18:0_18:2,,C41H78NO8P,743.5465,(M-H)-,742.5392,0.6,0.6,93.68,PE 36:2,4,PE 18:0/18:2,62.5
20,7.670,,,,826.5606,1551326,-1,Negative,Phosphatidylcholine,PC 16:0_20:4,,C44H80NO8P,781.5622,(M+CHO2)-,826.5604,0.3,0.3,92.47,PC 36:4,1,PC 16:0/20:4,100.0
21,2.579,,,,540.3312,1439102,-1,Negative,Lysophophatidylcholine,LPC 16:0/0:0,,C24H50NO7P,495.3325,(M+CHO2)-,540.3307,0.9,0.9,97.27,LPC 16:0,1,LPC 16:0,100.0
22,11.179,,,,760.6076,1427359,-1,Negative,,,,,761.6149,(M-H)-,,,,,,
23,8.322,,,,878.5921,1422492,-1,Negative,Phosphatidylcholine,PC 18:0_22:6,,C48H84NO8P,833.5935,(M+CHO2)-,878.5917,0.5,0.5,89.82,PC 40:6,1,PC 18:0/22:6,100.0
24,10.389,,,,857.6758,1419955,-1,Negative,Sphingomyelin,SM d42:2,,C47H93N2O6P,812.6771,(M+CHO2)-,857.6753,0.6,0.6,95.62,SM d42:2,40,,
25,12.052,,,,694.6357,1404607,-1,Negative,,,,,695.6430,(M-H)-,,,,,,
26,3.651,,,,327.2332,1364629,-1,Negative,,,,,328.2405,(M-H)-,,,,,,
27,7.997,,,,764.5238,1337217,-1,Negative,Phosphatidylethanolamine,PE 18:1_20:4,,C43H76NO8P,765.5309,(M-H)-,764.5236,0.3,0.3,92.31,PE 38:5,1,PE 18:1/20:4,100.0
28,7.981,,,,738.5088,1269361,-1,Negative,Phosphatidylethanolamine,PE 16:0_20:4,,C41H74NO8P,739.5152,(M-H)-,738.5079,1.1,1.1,90.28,PE 36:4,1,PE 16:0/20:4,100.0
29,3.756,,,,568.3626,1238969,-1,Negative,Lysophophatidylcholine,LPC 18:0/0:0,,C26H54NO7P,523.3638,(M+CHO2)-,568.3620,1.0,1.0,92.96,LPC 18:0,1,LPC 18:0,100.0
30,8.072,,,,861.5501,1164193,-1,Negative,Phosphatidylinositol,PI 18:0_18:2,,C45H83O13P,862.5571,(M-H)-,861.5499,0.3,0.3,96.58,PI 36:2,3,PI 18:0/18:2,52.3
31,8.143,,,,714.5080,1157880,-1,Negative,Phosphatidylethanolamine,PE 16:0_18:2,,C39H74NO8P,715.5152,(M-H)-,714.5079,0.1,0.1,93.78,PE 34:2,1,PE 16:0/18:2,100.0
32,8.040,,,,810.5292,1154071,-1,Negative,Phosphatidylserine,PS 18:0_20:4,,C44H78NO10P,811.5363,(M-H)-,810.5291,0.2,0.2,77.67,PS 38:4,1,PS 18:0/20:4,100.0
33,8.166,,,,740.5241,1047386,-1,Negative,Phosphatidylethanolamine,PE 18:1_18:2,,C41H76NO8P,741.5309,(M-H)-,740.5236,0.7,0.7,92.13,PE 36:3,1,PE 18:1/18:2,100.0
34,10.500,,,,831.6602,1046397,-1,Negative,Sphingomyelin,SM d40:1,,C45H91N2O6P,786.6615,(M+CHO2)-,831.6597,0.7,0.7,96.08,SM d40:1,29,,
35,6.782,,,,806.4982,1025635,-1,Negative,Phosphatidylserine,PS 16:0_22:6,,C44H74NO10P,807.5050,(M-H)-,806.4978,0.6,0.6,77.77,PS 38:6,1,PS 16:0/22:6,100.0
36,10.435,,,,690.6047,995980,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d42:3,,C42H79NO3,645.6060,(M+CHO2)-,690.6042,0.8,0.8,68.88,Cer_NS d42:3,9,,
37,5.338,,,,865.5031,921651,-1,Negative,Phosphatidylglycerol,PG 22:6_22:6,,C50H75O10P,866.5098,(M-H)-,865.5025,0.7,0.7,83.08,PG 44:12,1,PG 22:6/22:6,100.0
38,9.557,,,,832.6078,916231,-1,Negative,Phosphatidylcholine,PC 18:0_18:1,,C44H86NO8P,787.6091,(M+CHO2)-,832.6073,0.6,0.6,94.41,PC 36:1,3,PC 18:0/18:1,63.7
39,7.707,,,,788.5249,839123,-1,Negative,Phosphatidylethanolamine,PE 18:1_22:6,,C45H76NO8P,789.5309,(M-H)-,788.5236,1.6,1.6,90.91,PE 40:7,1,PE 18:1/22:6,100.0
40,12.956,,,,1447.9656,793076,-1,Negative,Cardiolipin,CL 72:8,,C81H142O17P2,1448.9722,(M-H)-,1447.9649,0.4,0.4,92.23,CL 72:8,79,,
41,0.675,,,,498.2900,782321,-1,Negative,,,,,499.2972,(M-H)-,,,,,,
42,8.617,,,,854.5922,717174,-1,Negative,Phosphatidylcholine,PC 18:0_20:4,,C46H84NO8P,809.5935,(M+CHO2)-,854.5917,0.6,0.6,94.43,PC 38:4,2,PC 18:0/20:4,75.5
43,3.826,,,,480.3101,693425,-1,Negative,Lysophosphatidylethanolamine,LPE 18:0,,C23H48NO7P,481.3168,(M-H)-,480.3096,1.1,1.1,97.25,LPE 18:0,1,LPE 18:0,100.0
44,11.297,,,,859.6915,689340,-1,Negative,Sphingomyelin,SM d42:1,,C47H95N2O6P,814.6928,(M+CHO2)-,859.6910,0.6,0.6,95.81,SM d42:1,33,,
