"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] 01_neg_032823_018,[Mass] 02_neg_032823_025,[Mass] 03_neg_032823_044,[Mass] 04_neg_032823_017,[Mass] 05_neg_032823_021,[Mass] 06_neg_032823_026,[Mass] 07_neg_032823_039,[Mass] 08_neg_032823_038,[Mass] 09_neg_032823_019,[Mass] 10_neg_032823_031,[Mass] 11_neg_032823_043,[Mass] 12_neg_032823_046,[Mass] 13_neg_032823_045,[Mass] 14_neg_032823_022,[Mass] 15_neg_032823_029,[Mass] 16_neg_032823_034,[Mass] 17_neg_032823_036,[Mass] 18_neg_032823_028,[Mass] 19_neg_032823_030,[Mass] 20_neg_032823_037,[Mass] 21_neg_032823_035,[Mass] 22_neg_032823_047,[Mass] ISB_neg_032823_027,[Mass] PB_neg_032823_020,[RT] 01_neg_032823_018,[RT] 02_neg_032823_025,[RT] 03_neg_032823_044,[RT] 04_neg_032823_017,[RT] 05_neg_032823_021,[RT] 06_neg_032823_026,[RT] 07_neg_032823_039,[RT] 08_neg_032823_038,[RT] 09_neg_032823_019,[RT] 10_neg_032823_031,[RT] 11_neg_032823_043,[RT] 12_neg_032823_046,[RT] 13_neg_032823_045,[RT] 14_neg_032823_022,[RT] 15_neg_032823_029,[RT] 16_neg_032823_034,[RT] 17_neg_032823_036,[RT] 18_neg_032823_028,[RT] 19_neg_032823_030,[RT] 20_neg_032823_037,[RT] 21_neg_032823_035,[RT] 22_neg_032823_047,[RT] ISB_neg_032823_027,[RT] PB_neg_032823_020,[Height] 01_neg_032823_018,[Height] 02_neg_032823_025,[Height] 03_neg_032823_044,[Height] 04_neg_032823_017,[Height] 05_neg_032823_021,[Height] 06_neg_032823_026,[Height] 07_neg_032823_039,[Height] 08_neg_032823_038,[Height] 09_neg_032823_019,[Height] 10_neg_032823_031,[Height] 11_neg_032823_043,[Height] 12_neg_032823_046,[Height] 13_neg_032823_045,[Height] 14_neg_032823_022,[Height] 15_neg_032823_029,[Height] 16_neg_032823_034,[Height] 17_neg_032823_036,[Height] 18_neg_032823_028,[Height] 19_neg_032823_030,[Height] 20_neg_032823_037,[Height] 21_neg_032823_035,[Height] 22_neg_032823_047,[Height] ISB_neg_032823_027,[Height] PB_neg_032823_020,[Score (MFE)] 01_neg_032823_018,[Score (MFE)] 02_neg_032823_025,[Score (MFE)] 03_neg_032823_044,[Score (MFE)] 04_neg_032823_017,[Score (MFE)] 05_neg_032823_021,[Score (MFE)] 06_neg_032823_026,[Score (MFE)] 07_neg_032823_039,[Score (MFE)] 08_neg_032823_038,[Score (MFE)] 09_neg_032823_019,[Score (MFE)] 10_neg_032823_031,[Score (MFE)] 11_neg_032823_043,[Score (MFE)] 12_neg_032823_046,[Score (MFE)] 13_neg_032823_045,[Score (MFE)] 14_neg_032823_022,[Score (MFE)] 15_neg_032823_029,[Score (MFE)] 16_neg_032823_034,[Score (MFE)] 17_neg_032823_036,[Score (MFE)] 18_neg_032823_028,[Score (MFE)] 19_neg_032823_030,[Score (MFE)] 20_neg_032823_037,[Score (MFE)] 21_neg_032823_035,[Score (MFE)] 22_neg_032823_047,[Score (MFE)] ISB_neg_032823_027,[Score (MFE)] PB_neg_032823_020,[Score (Tgt)] 01_neg_032823_018,[Score (Tgt)] 02_neg_032823_025,[Score (Tgt)] 03_neg_032823_044,[Score (Tgt)] 04_neg_032823_017,[Score (Tgt)] 05_neg_032823_021,[Score (Tgt)] 06_neg_032823_026,[Score (Tgt)] 07_neg_032823_039,[Score (Tgt)] 08_neg_032823_038,[Score (Tgt)] 09_neg_032823_019,[Score (Tgt)] 10_neg_032823_031,[Score (Tgt)] 11_neg_032823_043,[Score (Tgt)] 12_neg_032823_046,[Score (Tgt)] 13_neg_032823_045,[Score (Tgt)] 14_neg_032823_022,[Score (Tgt)] 15_neg_032823_029,[Score (Tgt)] 16_neg_032823_034,[Score (Tgt)] 17_neg_032823_036,[Score (Tgt)] 18_neg_032823_028,[Score (Tgt)] 19_neg_032823_030,[Score (Tgt)] 20_neg_032823_037,[Score (Tgt)] 21_neg_032823_035,[Score (Tgt)] 22_neg_032823_047,[Score (Tgt)] ISB_neg_032823_027,[Score (Tgt)] PB_neg_032823_020,[Ions] 01_neg_032823_018,[Ions] 02_neg_032823_025,[Ions] 03_neg_032823_044,[Ions] 04_neg_032823_017,[Ions] 05_neg_032823_021,[Ions] 06_neg_032823_026,[Ions] 07_neg_032823_039,[Ions] 08_neg_032823_038,[Ions] 09_neg_032823_019,[Ions] 10_neg_032823_031,[Ions] 11_neg_032823_043,[Ions] 12_neg_032823_046,[Ions] 13_neg_032823_045,[Ions] 14_neg_032823_022,[Ions] 15_neg_032823_029,[Ions] 16_neg_032823_034,[Ions] 17_neg_032823_036,[Ions] 18_neg_032823_028,[Ions] 19_neg_032823_030,[Ions] 20_neg_032823_037,[Ions] 21_neg_032823_035,[Ions] 22_neg_032823_047,[Ions] ISB_neg_032823_027,[Ions] PB_neg_032823_020,
PI 18:0_20:4,C47 H83 O13 P,886.5572,0.28,0,7.23,0.057,5248707,23,1,99.9,6.8,2,7,886.5573,886.5571,886.5571,886.5572,886.5571,886.5571,886.5571,886.5571,886.5571,886.5571,886.5572,886.5570,886.5571,886.5571,886.5571,886.5570,886.5571,886.5570,886.5571,886.5571,886.5571,886.5571,,886.5582,7.233,7.227,7.239,7.235,7.228,7.240,7.232,7.283,7.240,7.227,7.281,7.242,7.234,7.227,7.227,7.233,7.231,7.234,7.254,7.230,7.238,7.226,,7.232,7919427,5970268,4985419,6655388,5836875,5032606,6191578,4850805,5557031,4455512,6710418,6486504,6660591,5340611,5635608,4290425,6963452,4509112,4204937,4005251,4595390,3862727,,328,,,,,,,,,,,,,,,,,,,,,,,,,99.88,96.86,98.55,98.06,97.04,98.62,97.55,99.02,98.66,96.85,99.17,98.90,97.96,96.96,96.99,97.73,97.55,97.94,99.68,97.32,98.49,96.69,,66.84,6,7,7,6,6,5,7,5,7,6,7,6,6,6,5,6,5,5,5,5,6,7,,2,
PC 16:0_18:2,C42 H80 N O8 P,757.5620,0.30,0,7.23,0.095,4179170,24,0,99.9,6.7,3,8,757.5622,757.5621,757.5621,757.5621,757.5622,757.5620,757.5620,757.5621,757.5621,757.5622,757.5621,757.5620,757.5621,757.5621,757.5621,757.5620,757.5621,757.5621,757.5621,757.5621,757.5621,757.5620,757.5613,757.5613,7.233,7.227,7.239,7.235,7.228,7.235,7.226,7.233,7.223,7.227,7.231,7.231,7.229,7.227,7.227,7.227,7.226,7.229,7.226,7.230,7.227,7.226,7.168,7.144,4962313,4827700,4286240,4561524,4850493,4656492,5363697,4615942,5603883,3963063,4661661,4192876,4855737,4452821,4678123,3753213,5545272,4393328,4330807,3671283,4194202,3872781,2540,4091,,,,,,,,,,,,,,,,,,,,,,,,,99.87,96.77,98.50,98.02,96.91,97.90,96.64,97.66,96.18,96.73,97.43,97.42,97.02,96.87,96.85,96.81,96.56,97.04,96.62,97.22,96.84,96.49,74.40,75.13,7,6,6,7,6,6,6,8,6,7,7,7,7,7,7,7,6,6,6,6,7,5,4,3,
PC 18:0_18:2,C44 H84 N O8 P,785.5932,0.59,0,8.19,0.138,3197187,24,0,99.9,6.4,3,8,785.5934,785.5933,785.5934,785.5933,785.5933,785.5934,785.5933,785.5934,785.5933,785.5934,785.5934,785.5934,785.5933,785.5933,785.5934,785.5933,785.5933,785.5933,785.5934,785.5933,785.5933,785.5934,785.5918,785.5916,8.196,8.196,8.197,8.193,8.175,8.187,8.204,8.194,8.198,8.183,8.189,8.161,8.197,8.190,8.161,8.212,8.166,8.158,8.194,8.197,8.144,8.201,8.074,8.126,4598495,3733931,2873950,3967168,3524913,3679020,3839365,3483499,4225760,2649165,3854782,3552372,3572877,3228182,3337356,2491829,4238946,3331578,3360494,3346099,3011856,2826546,2134,2174,,,,,,,,,,,,,,,,,,,,,,,,,99.43,99.45,99.33,99.63,99.73,99.86,99.79,99.55,99.31,99.85,99.78,98.82,99.32,99.72,98.80,97.86,99.19,98.52,99.56,99.33,99.75,99.04,71.04,86.71,8,5,5,6,6,6,5,5,7,5,5,7,5,5,6,5,6,7,6,6,5,6,3,3,
LPC 16:0/0:0,C24 H50 N O7 P,495.3325,1.57,0,2.18,0.035,2707230,24,0,99.9,8.3,2,7,495.3327,495.3327,495.3327,495.3327,495.3326,495.3328,495.3327,495.3326,495.3326,495.3326,495.3327,495.3327,495.3326,495.3326,495.3327,495.3327,495.3326,495.3327,495.3327,495.3327,495.3327,495.3327,495.3289,495.3332,2.183,2.181,2.182,2.182,2.181,2.182,2.185,2.183,2.180,2.180,2.184,2.183,2.183,2.182,2.181,2.179,2.180,2.181,2.183,2.184,2.183,2.181,2.190,2.214,3774935,3140952,2400850,3164095,2942279,2636596,3063834,2605439,2912549,2103279,3453789,3363836,3477837,2978815,3181102,2412541,4417118,2646594,2443181,2720716,2614562,2517512,582,539,,,,,,,,,,,,,,,,,,,,,,,,,99.87,99.86,99.88,99.87,99.90,99.82,99.85,99.92,99.88,99.84,99.87,99.84,99.88,99.91,99.88,99.83,99.87,99.89,99.88,99.84,99.88,99.87,64.89,79.92,6,5,6,6,5,4,7,7,7,6,5,5,6,5,6,5,5,6,5,5,6,4,2,2,
PC 16:0_22:6,C46 H80 N O8 P,805.5620,0.80,0,6.81,0.164,2934513,23,1,99.9,12.4,2,8,805.5622,805.5622,805.5622,805.5623,805.5620,805.5622,805.5621,805.5622,805.5622,805.5622,805.5621,805.5622,805.5622,805.5621,805.5621,805.5622,805.5621,805.5622,805.5620,805.5621,805.5622,805.5621,,805.5591,6.815,6.814,6.799,6.807,6.799,6.817,6.798,6.811,6.811,6.804,6.813,6.802,6.777,6.804,6.794,6.815,6.797,6.816,6.820,6.813,6.816,6.774,,6.655,3633019,3656298,2964571,3417779,3322581,3304084,3623464,3111461,3269136,2782387,3712926,2742693,3373502,3107767,2913541,2408463,3650136,2536969,2415466,2286787,2817388,2442171,,1209,,,,,,,,,,,,,,,,,,,,,,,,,99.24,99.36,99.83,99.66,99.93,99.14,99.90,99.55,99.60,99.80,99.41,99.81,98.67,99.82,99.83,99.28,99.91,99.21,98.94,99.48,99.18,98.35,,41.98,6,8,8,8,8,8,8,7,6,7,8,6,8,7,8,8,7,8,8,8,7,8,,2,
PC 16:0_20:4,C44 H80 N O8 P,781.5626,1.67,0,7.09,0.118,2638818,23,1,99.7,9.0,4,8,781.5625,781.5623,781.5622,781.5625,781.5622,781.5623,781.5623,781.5622,781.5622,781.5622,781.5623,781.5624,781.5623,781.5623,781.5623,781.5623,781.5624,781.5623,781.5623,781.5623,781.5622,781.5623,781.5685,,7.099,7.115,7.100,7.102,7.100,7.101,7.065,7.094,7.101,7.082,7.081,7.064,7.045,7.055,7.094,7.116,7.098,7.084,7.059,7.057,7.061,7.092,7.163,,3528932,2821817,2484007,3510246,2727523,2665060,3105551,2508903,2953421,2260429,3212607,3024656,3029771,2655596,2838581,2171689,3253980,2361222,2231258,2597105,2459342,2289672,1458,,,,,,,,,,,,,,,,,,,,,,,,,,94.91,99.45,98.97,93.20,98.91,98.72,97.90,99.33,98.71,99.74,97.28,95.98,98.44,97.26,99.16,99.55,97.46,99.52,98.09,97.43,98.22,99.38,57.02,,8,7,6,6,7,7,8,7,7,8,7,6,5,6,6,7,8,8,7,6,7,6,4,,
PC 16:0_18:1,C42 H82 N O8 P,759.5776,0.89,0,8.02,0.167,2491655,24,0,99.9,10.4,3,7,759.5778,759.5777,759.5778,759.5779,759.5777,759.5778,759.5777,759.5778,759.5777,759.5777,759.5778,759.5777,759.5777,759.5779,759.5778,759.5777,759.5778,759.5778,759.5778,759.5778,759.5778,759.5777,759.5754,759.5754,8.024,7.990,8.030,8.037,8.030,7.981,8.026,8.033,8.036,8.033,8.022,7.983,8.053,8.001,8.011,8.000,7.988,8.002,8.038,7.986,7.983,8.039,7.885,7.927,3110063,3210452,2522748,2607367,3007932,2945920,3182989,2894139,3100704,2400490,2762203,2265410,2971937,2770001,2888795,2037952,3582916,2435474,2401969,2086266,2358734,2251396,2051,1819,,,,,,,,,,,,,,,,,,,,,,,,,99.85,98.37,99.32,98.69,99.34,97.08,99.60,99.12,98.81,99.11,99.70,99.87,99.80,99.33,99.82,99.41,98.15,99.52,98.61,99.89,97.52,99.89,62.86,64.82,7,6,5,6,7,6,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,3,3,
PA 15:0_18:1(d7),C36 H62 D7 O8 P,667.5169,0.22,0,7.35,0.129,2513124,24,0,99.9,6.1,4,7,667.5168,667.5170,667.5170,667.5169,667.5169,667.5170,667.5169,667.5169,667.5169,667.5169,667.5169,667.5168,667.5170,667.5169,667.5169,667.5169,667.5170,667.5169,667.5169,667.5168,667.5170,667.5169,667.5168,667.5162,7.366,7.349,7.339,7.363,7.356,7.340,7.365,7.338,7.368,7.349,7.359,7.359,7.345,7.327,7.361,7.344,7.348,7.357,7.348,7.324,7.355,7.331,7.240,7.243,2064388,2784029,2682881,2456456,2906723,2693360,2441718,2472063,2222959,2841413,2020383,1763776,2632536,2928445,2555719,2461717,2622651,2779744,2325085,3205847,2536685,3196838,3675035,44540,,,,,,,,,,,,,,,,,,,,,,,,,99.74,99.65,98.94,99.84,99.87,99.04,99.81,98.84,99.72,99.65,99.89,99.84,99.41,97.53,99.87,99.35,99.58,99.87,99.62,97.02,99.82,98.05,78.59,78.51,6,6,6,6,6,6,7,6,7,6,6,6,6,7,6,7,6,7,6,6,6,6,6,4,
PI 16:0_18:2,C43 H79 O13 P,834.5258,0.14,0,6.58,0.008,2057378,22,2,99.9,0.1,6,8,834.5258,834.5258,834.5257,834.5259,834.5258,834.5259,834.5258,834.5256,834.5259,834.5256,834.5259,834.5259,834.5259,834.5258,834.5259,834.5256,834.5259,834.5256,834.5256,834.5256,834.5256,834.5256,,,6.581,6.580,6.582,6.585,6.585,6.586,6.587,6.583,6.583,6.585,6.584,6.579,6.587,6.581,6.583,6.582,6.585,6.582,6.586,6.585,6.586,6.585,,,3786216,2488756,1395852,1846929,1936187,2070879,2537987,1726898,2128088,1188008,2885916,2530030,2746368,2150525,2252692,1018343,3758135,1267718,1407493,1434088,1463977,1241250,,,,,,,,,,,,,,,,,,,,,,,,,,,99.70,99.70,99.69,99.85,99.87,99.86,99.93,99.77,99.75,99.79,99.85,99.66,99.86,99.73,99.82,99.61,99.90,99.70,99.83,99.79,99.85,99.79,,,8,8,6,7,7,6,6,7,8,7,6,8,7,8,6,6,7,6,7,7,6,7,,,
LPC 18:0/0:0,C26 H54 N O7 P,523.3639,0.35,0,3.41,0.063,1633505,23,1,99.9,8.9,1,7,523.3639,523.3639,523.3637,523.3639,523.3639,523.3638,523.3639,523.3638,523.3638,523.3637,523.3639,523.3638,523.3639,523.3638,523.3638,523.3638,523.3640,523.3638,523.3638,523.3638,523.3638,523.3637,523.3646,,3.411,3.412,3.410,3.408,3.409,3.413,3.416,3.412,3.414,3.415,3.413,3.411,3.404,3.412,3.412,3.408,3.414,3.413,3.406,3.416,3.416,3.413,3.467,,2309572,1901994,1312980,1859256,1689115,1572299,1901229,1429463,1687301,1051246,2383265,1946932,2055125,1661817,1841256,1405563,2483099,1515935,1285490,1456938,1499614,1320480,654,,,,,,,,,,,,,,,,,,,,,,,,,,99.83,99.83,99.86,99.74,99.80,99.90,99.90,99.89,99.90,99.80,99.90,99.85,99.55,99.87,99.87,99.79,99.86,99.92,99.70,99.94,99.92,99.93,57.99,,6,5,6,6,6,6,5,6,6,5,6,5,5,4,5,6,7,5,5,6,6,6,1,,
