Sample,BMP 20:5-22:6 Results,BMP 18:3-22:6 Results,BMP 22:5-22:6 Results,BMP 18:2-20:5 Results,BMP 20:5_20:5 Results,BMP 18:3-22:5 Results,BMP 22:6-22:6 Results,BMP 16:1-16:1 Results,BMP 18:2-18:3 Results,BMP 16:0-18:3 Results,BMP 18:2-22:6 Results,BMP 20:4-20:4 Results,PG 22:5-22:6 Results,PG 20:5-22:6 Results,BMP 18:2-22:5 Results,BMP 18:2-20:4 Results,BMP 18:1-20:5 Results,PG 18:3-22:5 Results,BMP 16:1-20:5 Results,BMP 16:1-22:6 Results,BMP 22:5-22:5 Results,PG 20:5-20:5 Results,BMP 18:2-18:2 Results,PG 18:2-18:2 Results,PG 18:2-18:3 Results,BMP 16:0-22:6 Results,BMP 16:1-20:4 Results,BMP 18:1-18:3 Results,BMP 18:1-22:6 Results,PG 16:1-16:1 Results,BMP 16:0-16:1 Results,BMP 16:0-20:4 Results,BMP 18:0-20:4 Results,PG 16:0-20:5 Results,BMP 18:1-20:4 Results,BMP 18:0-20:5 Results,BMP 18:3-18:3 Results,PG 16:0-22:6 Results,BMP 16:0-18:2 Results,BMP 18:1-18:2 Results,PG 18:2-20:5 Results,PG 16:1-20:5 Results,PG 20:4-20:5 Results,PG 18:3-18:3 Results,PG 20:4-20:4 Results,PG 16:0-18:3 Results,PG 18:1-18:2 Results,PG 16:0-18:2 Results,PG 18:3-22:6 Results,PG 18:2-22:6 Results,PG 16:1-22:6 Results,PG 18:1-18:3 Results,PG 16:1-20:4 Results,PG 22:5-22:5 Results,PG 16:0-20:4 Results,BMP 16:0-16:0 Results,PG 18:2-22:5 Results,PG 16:0-16:1 Results,PG 22:6-22:6 Results,BMP 18:0-18:3 Results,PG 18:0-18:3 Results,BMP 16:0-18:1 Results,PG 18:1-20:4 Results,PG 18:1-20:5 Results,PG 18:2-20:4 Results,BMP 16:0-18:0 Results,PG 18:0-20:5 Results,BMP 18:1-18:1 Results,BMP 18:0-18:2 Results,PG 18:1-22:6 Results,PG 16:0-18:0 Results,PG 16:0-18:1 Results,PC 15:0_18:1(d7) Results,BMP 18:0-18:0 Results,PG 16:0-16:0 Results,PG 18:0-20:4 Results,PG 18:1-18:1 Results,PG 18:0-18:2 Results,BMP 18:0-18:1 Results,PG 18:0-18:1 Results,PG 18:0-18:0 Results
D_LacZ_02,1.9274,0.3684,1.9608,0.1366,0.006,0.0299,1.8982,1.7842,0.0871,0.0043,18.3901,5.7719,35.4736,0.0061,3.3467,4.3476,3.5853,0.0404,0.0096,0.0124,0.0073,0.0476,3.3593,0.2183,0.0009,5.4215,0.1797,0.824,125.8422,0.9616,0.9484,0.7708,1.6173,0.6252,24.8345,0.0146,0.0004,0.0501,2.0213,47.0415,0.1636,0.4385,0.1826,0.0001,0.1165,0.0158,6.5026,4.3466,0.0062,0.0968,0.3335,0.0401,0.5003,0.1499,89.2545,0.8426,0.2404,19.0343,0.2749,0.4398,0.5046,1.1005,34.1815,0.177,0.0632,0.1426,0.4074,344.1782,2.5002,0.3698,16.4071,483.4944,,0.9586,16.4222,57.6939,146.0227,12.6619,12.6821,110.3051,4.3974
M_LacZ_06,1.313,0.1445,0.9552,0.0976,0.0024,0.0517,0.8012,0.7211,0.0576,0.0048,9.4144,2.6761,23.9946,0.0273,1.4086,1.0376,0.8531,0.0108,0.004,0.0038,0.014,0.0472,0.1276,0.089,0.0001,2.5554,0.0152,0.1665,64.4221,0.2329,0.2614,0.512,0.3607,0.2619,14.9288,0.013,0.0058,0.0249,0.093,12.6925,0.2236,0.41,0.1791,0.0069,0.0684,0.0217,0.2551,1.3829,0.0191,0.1738,0.3495,0.0213,0.0656,0.0328,17.8829,0.1391,0.0858,2.6081,0.0198,0.0337,0.0569,0.3748,8.2223,0.0431,0.038,0.021,0.1941,15.1668,0.1414,0.29,8.1642,256.4404,,0.5073,6.6727,30.0309,59.775,5.9231,3.409,50.5805,2.2925
D_M6PR_02,1.3337,0.0515,3.5516,0.0604,0.005,0.0729,1.9629,25.5614,0.174,0.0034,30.7822,1.394,33.2195,0.0123,0.6441,1.7471,5.0319,0.0105,0.001,0.0144,0.1129,0.0561,6.1558,0.0833,0.0401,37.4154,0.8604,5.7313,465.3436,3.6854,24.9984,2.8704,1.8149,0.4228,42.1547,0.2605,0.0032,0.1711,24.3882,282.0054,0.2939,0.5138,0.019,0.0089,0.0768,0.2583,77.7144,3.1611,0.0194,0.1322,1.1691,0.4753,2.8277,0.4222,392.4868,12.9364,0.367,315.4021,0.2574,4.869,6.0138,29.9728,164.9351,0.1808,0.0948,4.6394,0.7216,3010.3523,14.9684,0.529,27.2777,993.9714,,0.8,19.0715,41.0763,311.5165,24.0561,125.877,307.0362,13.3417
D_M6PR_05,1.2534,0.6318,3.7286,0.0805,0.0029,0.0258,1.9784,25.1505,0.1509,0,30.8206,2.0282,34.7045,0.0578,5.2203,1.3107,4.84,0.0529,0.009,0.0703,0.0225,0.0532,0.1438,1.8865,0.0175,35.9585,0.4587,3.6371,469.7617,3.2219,28.2414,2.4406,2.3551,1.3378,34.5886,0.0118,0.0146,0.145,21.9711,235.1835,0.6913,0.712,0.0752,0.006,0.0495,0.247,93.7954,4.0998,0.0124,0.168,0.211,0.3492,2.8931,0.178,357.9445,9.5617,0.4834,272.1833,0.5301,2.4535,5.49,26.8477,144.789,0.608,0.0869,5.94,1.1733,2889.7182,13.7702,0.7036,28.2563,1148.3815,,0.4308,17.0305,42.1977,311.3294,21.2658,128.1066,257.741,11.1296
M_M6PR_02,1.6618,0.4192,4.433,0.0806,0.0029,0.0636,2.6323,15.8805,0.0299,0.0094,33.0207,1.7957,40.261,0.0053,3.0247,1.0725,5.1239,0.0267,0.0083,0.0344,0.0249,0.0597,0.6943,3.9713,0.0018,27.2728,0.6582,3.6561,460.8361,1.9303,12.7081,0.2219,1.108,0.8446,29.3965,0.1899,0.0035,0.1292,14.9432,224.15,0.2953,0.7062,0.1175,0.0106,0.0286,0.0991,73.9489,2.4379,0.0421,0.2202,0.9218,0.2492,2.4701,0.6358,271.1409,5.7139,0.3775,108.3991,0.1997,2.302,3.6106,19.1485,146.2148,0.6066,0.0668,2.5234,1.4119,2210.6142,8.5347,0.4446,11.0597,559.7188,,0.967,7.0488,42.3868,174.7261,16.0214,54.5343,190.0936,7.5986
D_M6PR_03,1.6859,1.1586,4.2925,0.1769,0.0027,0.0172,2.4681,26.4709,0.034,0.0223,36.8268,3.0369,41.9077,0.0068,1.6798,3.9553,6.4677,0.0096,0.0029,0.0171,0.0386,0.1603,3.2186,5.6739,0.0182,42.0372,0.8458,4.7733,577.785,3.7976,31.9699,4.148,1.8067,1.2205,44.449,0.4827,0.0069,0.2452,27.3312,305.66,0.3254,0.6427,0.0986,0.0112,0.0045,0.2251,92.5135,4.4306,0.0215,0.1801,0.2406,0.3477,3.6119,0.6221,425.3926,12.8893,0.2589,316.0927,0.6486,5.4313,6.0214,35.7087,175.9891,0.6078,0.1273,4.6399,0.3466,3362.1465,17.388,0.1951,29.8736,1099.6354,,0.8139,18.6013,47.3686,325.2266,25.1779,170.0688,321.7142,15.2741
D_TFEB_OE_05,2.3428,0.0549,2.3358,0.3609,0.0494,0.0178,1.9093,2.0163,0.0432,0.0049,19.837,8.174,37.3477,0.0154,1.8485,4.5644,3.6614,0.0424,0.0031,0.0097,0.0157,0.014,2.6393,0.0083,0.013,4.448,0.247,0.5158,110.2071,0.4545,0.6288,0.6632,0.58,0.2054,24.3628,0.0798,0.0029,0.0844,1.309,36.5067,0.7079,0.3501,0.1174,0.0266,0.0642,0.0366,5.701,3.8706,0.016,0.3935,0.9731,0.0487,0.4066,0.1507,74.5406,0.4929,0.1251,14.8945,0.0728,0.0878,0.292,1.1007,28.5508,0.1696,0.0376,0.1083,0.2581,112.0207,1.7578,0.3293,12.781,448.1499,,0.8958,16.2418,60.1581,135.5465,12.664,7.7245,101.8456,4.2589
D_M6PR_04,1.3432,0.9358,2.3367,0.1971,0.0029,0.0309,2.1723,25.8544,0.158,0.0107,32.5091,1.5433,37.3222,0.0138,3.5731,2.1096,5.3657,0.0243,0.0122,0.0039,0.0194,0.0068,2.7947,0.4443,0.0146,38.0194,0.8313,4.2363,495.7214,3.5302,26.2635,5.3504,2.0329,1.2813,36.0467,0.1464,0.0074,0.5877,26.3043,294.6915,0.2988,5.8455,0.0291,0.0054,0.1013,0.08,98.0651,4.6652,0.027,0.2411,0.7495,0.3746,2.9315,0.5587,410.6552,12.7647,0.025,318.9198,0.6297,5.0926,6.4465,32.4814,191.4565,0.6334,0.1296,4.3575,1.7436,3110.7756,14.7887,0.2019,23.6513,1032.369,,0.6253,19.5391,45.3224,334.0602,24.9814,166.1688,322.7051,16.2745
D_LacZ_05,1.7014,1.2625,1.1782,0.2775,0.0023,0.0669,1.4066,1.8802,0.0673,0.0079,16.8075,5.1286,29.567,0.0243,2.3408,3.5564,2.7775,0.0514,0.0014,0.0127,0.0102,0.0356,0.5015,1.2273,0.0071,4.7156,0.1367,1.0149,110.5844,1.1036,0.6031,0.3639,1.063,0.4015,20.1334,0.0073,0.0001,0.0206,1.5348,41.2751,0.6405,0.3497,0.1106,0.0132,0.0169,0.0335,4.1324,3.1612,0.0248,0.8556,1.1866,0.0087,0.6058,0.1012,76.2928,0.4252,0.1034,16.2001,0.2561,0.0548,0.3746,1.492,31.3238,0.1534,0.0992,0.2178,0.7122,314.3458,2.2077,0.1027,12.9702,448.6838,,0.7507,15.4647,52.9385,127.5208,11.0159,11.4995,100.9986,4.818
D_LacZ_01,1.3808,0.3626,1.3514,0.2714,0.0055,0.074,1.256,1.0224,0.2242,0.0071,13.0573,4.3606,24.2163,0.0082,1.8697,2.0027,1.5989,0.0044,0.0079,0.0097,0.0287,0.0088,1.8233,1.3334,0.0104,2.9975,0.2142,0.1361,80.4058,0.4924,0.5188,0.7986,0.4447,0.4185,25.5365,0.0686,0.0072,0.1692,0.258,25.2685,0.398,0.1602,0.0636,0.0008,0.0281,0.0174,4.1738,3.0787,0.0054,0.8306,1.3674,0.0224,0.3695,0.0777,46.5019,0.2751,0.0735,8.8632,0.197,0.0212,0.2411,0.7084,17.7367,0.0209,0.0858,0.0311,0.6938,93.3397,1.1322,0.1737,10.5486,365.246,,0.6976,12.7855,46.2731,108.2799,9.0832,3.4903,82.9411,3.0509
