Sample,BMP 20:5_20:5 Results,BMP 20:5-22:6 Results,BMP 18:3-18:3 Results,BMP 16:1-20:5 Results,BMP 20:4-20:5 Results,BMP 18:3-22:6 Results,BMP 20:5-22:5 Results,BMP 18:2-20:5 Results,PG 20:5-22:6 Results,BMP 16:1-22:6 Results,BMP 18:2-18:3 Results,BMP 22:6-22:6 Results,PG 18:3-18:3 Results,BMP 22:5-22:6 Results,PG 16:1-20:5 Results,BMP 16:1-20:4 Results,BMP 22:5-22:5 Results,PG 22:5-22:5 Results,PG 20:4-20:5 Results,BMP 18:2-22:6 Results,PG 18:2-22:6 Results,BMP 20:4-20:4 Results,PG 22:6-22:6 Results,PG 20:5-22:5 Results,PG 22:5-22:6 Results,BMP 18:3-22:5 Results,PG 18:3-22:6 Results,BMP 18:2-20:4 Results,PG 18:2-20:5 Results,BMP 18:2-22:5 Results,BMP 18:1-20:5 Results,PG 16:1-22:6 Results,PG 20:5-20:5 Results,BMP 18:2-18:2 Results,PG 18:2-18:3 Results,BMP 16:0-18:3 Results,BMP 16:0-22:6 Results,BMP 16:1-16:1 Results,PG 20:4-20:4 Results,PG 18:3-22:5 Results,BMP 18:1-22:6 Results,BMP 18:1-18:3 Results,BMP 20:0-20:0 Results,PG 16:0-20:5 Results,BMP 16:0-20:4 Results,BMP 16:0-16:1 Results,PG 16:0-18:3 Results,BMP 18:1-20:4 Results,BMP 16:0-18:2 Results,BMP 18:1-18:2 Results,PG 16:1-20:4 Results,BMP 18:0-18:3 Results,BMP 18:0-20:5 Results,PG 16:1-16:1 Results,PG 18:2-20:4 Results,PG 18:1-18:3 Results,PG 18:1-22:6 Results,PG 16:0-20:4 Results,PG 18:1-20:5 Results,PG 16:0-16:1 Results,BMP 18:0-20:4 Results,PG 18:1-20:4 Results,PG 18:0-18:3 Results,PG 16:0-22:6 Results,BMP 16:0-16:0 Results,PG 16:0-18:2 Results,PG 18:1-18:2 Results,PG 18:2-18:2 Results,BMP 16:0-18:1 Results,BMP 16:0-18:0 Results,PG 18:0-20:5 Results,BMP 18:0-18:1 Results,PG 18:2-22:5 Results,PG 22:0-22:0 Results,BMP 18:1-18:1 Results,BMP 18:0-18:2 Results,PG 16:0-18:1 Results,PG 16:0-16:0 Results,PG 18:0-20:4 Results,PG 18:1-18:1 Results,PG 18:0-18:2 Results,PG 16:0-18:0 Results,BMP 18:0-18:0 Results,PG 18:0-18:1 Results,PG 18:0-18:0 Results
01_dMRM_neg_011923_0054.d,,4.6204,,2.4154,0.3935,2.1599,1.1845,1.1908,,117.8756,0,4.6659,,76.7422,0,5.5654,75.7336,,,50.0744,,1.0195,10.3765,,15.0847,,,2.7046,,10.4547,22.2471,,,10.7888,,,63.0464,14.2037,,,1685.8046,13.7919,,4.2683,4.5554,43.9607,,140.1275,35.9134,618.1714,1.0233,,1.6365,2.6752,1.119,0.9934,7.2777,390.7775,0.6806,786.2371,37.8652,465.2627,8.8852,,86.3875,50.0019,121.1314,0.7239,383.7553,14.3277,7.3004,349.2282,,,7080.1229,24.3523,1117.4677,29.8875,57.5605,1081.3614,44.4308,12.9929,24.4293,701.1109,3.3874
02_dMRM_neg_011923_0043.d,,5.8053,,3.0272,0.5722,3.0517,1.7146,1.1825,,142.2126,,9.2004,,96.042,,7.8432,,,,59.8632,,1.6036,16.7273,,15.82,1.0072,,4.91,,11.3099,30.0269,,,13.4006,,1.0029,77.9431,13.2525,,,2133.5768,20.3646,,5.3145,4.938,52.4367,,136.3434,47.0998,877.2583,0.7257,,1.6922,2.7957,0.7845,2.2292,6.5742,446.088,3.1025,761.7747,45.2393,450.3194,10.122,,57.8622,12.49,316.0474,0.678,457.13,17.6087,7.2638,406.9588,,,8351.068,23.4332,1109.0158,27.8526,3.5775,990.2588,41.1908,11.941,25.3687,676.7641,5.8658
03_dMRM_neg_011923_0022.d,,9.078,,3.1938,0.4227,3.4804,1.6916,1.3726,,174.3071,,8.5781,,140.9289,,9.1623,467.7503,1.0419,,75.2944,0,2.2884,30.3462,,28.4167,1.1494,,4.7357,,16.8773,38.4987,,,15.1983,,,96.443,14.1881,1.2203,,2477.8265,22.6232,,6.4262,7.0093,66.59,1.314,164.9536,44.3953,930.3813,1.1364,,3.8896,2.609,0.8387,5.5507,9.6081,353.8061,4.1359,512.9968,3.609,301.0396,9.4129,,24.9381,15.0664,592.5294,,480.925,23.9662,12.2737,531.5693,,,10902.7704,8.9156,1522.9303,29.7267,6.43,1341.9762,46.0776,6.3694,18.826,589.3635,
04_redo_dMRM_neg_011923_0050.d,,6.7695,,4.1321,0.6994,3.455,1.9246,1.5348,,191.0073,,6.6197,,106.4335,,9.1773,1.0806,,,73.0751,,1.3108,15.8973,,19.1734,,,5.565,,16.0778,36.1361,0.765,,14.4959,,,84.3355,19.1106,,,2351.7105,28.3322,,4.4131,5.6467,63.3532,,109.5833,34.2633,743.5445,0.9235,,1.3485,2.5705,1.2152,1.5573,7.0368,339.8949,,782.163,39.073,444.3477,9.6584,,54.6487,21.2782,168.6168,,461.3985,18.4053,7.4857,462.8167,,,9676.5881,29.8458,1304.5752,21.8523,55.8316,1226.6387,40.2256,5.8282,20.9196,674.2862,1.8358
05_dMRM_neg_011923_0034.d,,5.9862,,3.128,0.5753,3.3776,1.3669,1.3223,,164.0444,,5.7437,,106.8198,,8.8177,1.2748,0.7626,,67.5145,,1.2587,19.523,,21.104,,,4.2779,,11.1631,32.6094,,,16.0597,,1.2538,96.4319,15.6291,0.9178,,2483.9563,20.6768,,5.42,6.3072,73.3548,,146.0724,53.6477,1065.8457,0.8663,,2.4689,2.9737,1.0266,4.3434,10.0539,495.5976,3.3827,822.4895,41.4863,437.6759,13.3903,0.7716,50.1152,14.5557,544.1753,,525.6294,22.8056,8.555,571.1928,,,11673.9404,26.9526,1281.2913,29.3665,4.4088,1224.7323,51.5357,12.587,32.1614,896.3486,4.7391
06_redo_dMRM_neg_011923_0051.d,,5.8862,,3.0481,0.5543,3.523,2.1645,1.1821,,162.599,,9.2952,,105.7278,,8.7158,,,,64.0547,,1.4669,14.8789,,17.2921,,,4.213,,14.4175,32.8699,1.1999,,14.1922,,,88.1603,15.1786,,,2427.9812,23.257,,4.0914,5.9958,65.0964,,109.8698,37.9741,762.4909,0.8632,,2.2827,2.6973,1.0279,1.2571,7.2897,358.7336,2.7245,700.1461,42.1657,420.3651,10.0289,,66.3904,23.5925,246.5045,,583.7057,18.5063,6.2862,437.7322,,,9891.2839,28.7356,1142.2183,17.2315,2.0356,1070.9963,37.5633,5.9859,24.1587,639.7574,2.0426
07_dMRM_neg_011923_0030.d,,8.8589,,2.8983,0.6873,2.3616,3.1751,1.3938,,163.9978,,14.5872,,165.488,,9.3984,1.6756,,,64.2011,,2.9189,29.2388,,27.0591,,,4.2213,,16.1035,31.5496,1.1184,,11.0084,,0.9657,137.1325,12.1709,,,2006.8427,15.2612,,6.5626,10.0158,90.3408,,124.037,53.7458,709.0583,0.7632,,1.9842,4.4738,1.4041,1.791,8.3971,701.6514,0.8056,684.3211,33.0583,401.4736,10.5952,0.7605,45.0142,13.1916,302.2635,,534.4582,23.3942,10.6597,321.5312,,,6433.1845,17.0291,1209.925,29.8069,6.3379,559.8288,43.0483,14.8271,20.8055,589.9714,5.2124
08_dMRM_neg_011923_0023.d,,9.3466,,3.4672,0.6546,4.009,3.1377,1.9134,,196.5938,,15.6368,,178.3775,,10.8761,527.9669,1.1529,,74.4979,0,2.7767,35.4127,,30.9716,,,5.2865,,18.252,33.906,,,15.1943,,1.285,163.1961,13.3998,2.0175,,2390.8931,19.3938,,8.8905,10.9616,110.2849,,152.2772,68.1733,797.9214,0.8859,,6.1432,4.281,1.1991,3.6828,10.3384,640.6739,3.7847,608.8335,5.7587,353.3719,12.7165,0.8802,37.9832,20.0761,442.5561,4.9083,651.0999,30.0989,14.2167,400.8555,,,8006.8817,23.4339,1466.9729,30.3104,6.4903,717.2088,48.5984,12.6943,21.4045,578.8265,
09_redo_dMRM_neg_011923_0049.d,,8.1106,,3.7164,0.9775,3.7635,3.084,1.176,,168.2253,,11.9691,,155.3159,0,9.3842,1.6997,,,67.7756,,2.5646,28.6715,,27.9092,1.2112,,4.2878,,14.1714,30.2526,0.6426,,11.1555,,1.264,133.8648,12.0139,,,2015.4487,17.1534,,7.2922,9.6903,88.9485,,101.5536,45.3605,602.5756,0.7646,,1.2422,3.4579,1.3052,1.2018,5.8432,688.6414,,800.9854,44.495,496.9917,9.315,,175.2707,40.365,60.5591,0.627,543.5261,23.5519,7.6829,285.5693,,,5791.5049,22.4675,1162.1239,28.815,86.0845,589.0468,41.7187,14.3085,20.4363,546.3332,4.5907
10_dMRM_neg_011923_0042.d,,7.3342,,3.3827,0.7227,2.878,2.4571,1.3705,,167.338,0,8.7334,,141.6646,,9.3199,1.1394,1.0768,,68.9078,,1.9677,25.6289,,24.4124,,,3.5675,,14.3237,28.9951,,,11.1508,,1.1474,139.233,13.0949,1.3352,,2060.0577,17.4449,,6.8535,7.4255,99.4706,,106.4945,55.3315,686.1863,0.8758,,3.1789,4.4488,1.0378,1.4812,5.9437,756.3685,3.3885,852.2417,50.9357,480.1687,9.6575,,108.2348,7.523,216.9279,0.6968,590.8059,25.9892,7.3375,284.2988,,,5825.4533,23.0866,1069.8213,31.6905,5.4883,566.8191,39.9964,19.3656,23.5768,542.65,7.7695
