Sample,ID,BMP 16:0-16:0 Results,BMP 16:0-16:1 Results,BMP 16:0-18:0 Results,BMP 16:0-18:1 Results,BMP 16:0-18:2 Results,BMP 16:0-18:3 Results,BMP 16:0-20:4 Results,BMP 16:0-22:6 Results,BMP 16:1-16:1 Results,BMP 16:1-20:4 Results,BMP 16:1-20:5 Results,BMP 16:1-22:6 Results,BMP 18:0-18:0 Results,BMP 18:0-18:1 Results,BMP 18:0-18:2 Results,BMP 18:0-18:3 Results,BMP 18:0-20:4 Results,BMP 18:0-20:5 Results,BMP 18:1-18:1 Results,BMP 18:1-18:2 Results,BMP 18:1-18:3 Results,BMP 18:1-20:4 Results,BMP 18:1-20:5 Results,BMP 18:1-22:6 Results,BMP 18:2-18:2 Results,BMP 18:2-18:3 Results,BMP 18:2-20:4 Results,BMP 18:2-20:5 Results,BMP 18:2-22:5 Results,BMP 18:2-22:6 Results,BMP 18:3-18:3 Results,BMP 18:3-22:5 Results,BMP 18:3-22:6 Results,BMP 20:4-20:4 Results,BMP 20:4-20:5 Results,BMP 20:5-22:5 Results,BMP 20:5-22:6 Results,BMP 22:5-22:6 Results,BMP 22:6-22:6 Results,PG 16:0-16:0 Results,PG 16:0-16:1 Results,PG 16:0-18:0 Results,PG 16:0-18:1 Results,PG 16:0-18:2 Results,PG 16:0-18:3 Results,PG 16:0-20:4 Results,PG 16:0-20:5 Results,PG 16:0-22:6 Results,PG 16:1-16:1 Results,PG 16:1-20:4 Results,PG 16:1-20:5 Results,PG 16:1-22:6 Results,PG 18:0-18:0 Results,PG 18:0-18:1 Results,PG 18:0-18:2 Results,PG 18:0-18:3 Results,PG 18:0-20:4 Results,PG 18:0-20:5 Results,PG 18:1-18:1 Results,PG 18:1-18:2 Results,PG 18:1-18:3 Results,PG 18:1-20:4 Results,PG 18:1-20:5 Results,PG 18:1-22:6 Results,PG 18:2-18:2 Results,PG 18:2-18:3 Results,PG 18:2-20:4 Results,PG 18:2-20:5 Results,PG 18:2-22:5 Results,PG 18:2-22:6 Results,PG 18:3-18:3 Results,PG 18:3-22:5 Results,PG 18:3-22:6 Results,PG 20:4-20:4 Results,PG 20:4-20:5 Results,PG 20:5-20:5 Results,PG 20:5-22:5 Results,PG 20:5-22:6 Results,PG 22:5-22:5 Results,PG 22:5-22:6 Results,PG 22:6-22:6 Results
13_dMRM_neg_050723_0037.d,13,9.0139,1.2596,14.4003,35.5058,24.3287,0.7307,10.9115,53.9904,0.9309,6.2686,3.962,100.2661,0,32.9084,0.6929,0,17.2321,4.4446,765.2008,881.4701,20.7081,386.346,93.9895,2411.7201,78.7687,15.0879,183.9228,59.3913,83.3626,2255.7456,,1.9264,108.2865,97.0535,59.8246,18.2201,242.532,294.5938,17.0958,16.3876,1060.3772,189.8299,3746.0172,5115.3837,85.0881,3010.5831,,213.7578,25.3262,7.0163,,3.6446,60.7901,699.0395,3148.4599,19.6597,67.7506,,33.0396,95.9007,8.9791,180.4127,3.1236,26.5163,18.425,4.4057,34.178,,318.0934,16.2928,5.1319,,29.5605,2.8073,7.3906,8.3047,,19.3268,30.6239,4.1148,236.1257
14_dMRM_neg_050723_0053.d,14,11.8158,1.6477,16.0797,90.3341,31.4019,0.5786,12.4184,57.4417,2.2609,8.9836,3.5617,146.6764,,31.9855,2.0395,,19.7826,3.7899,785.0499,1181.1052,24.2828,388.7829,84.176,2872.5424,32.7558,16.2827,178.0112,54.4487,76.1352,2865.4462,,1.7187,115.818,110.8269,40.8599,11.8738,209.508,440.2795,18.8301,14.1518,757.2302,68.4644,2786.7355,8086.8726,41.2007,1458.5857,,126.6636,18.7551,6.1436,,3.0252,39.1715,518.4402,1861.487,13.5933,45.3201,,34.6382,194.129,4.479,131.0003,1.1522,28.3266,31.5101,1.0449,28.9298,,312.1032,4.2819,9.6111,,60.4511,1.5077,4.4548,6.6385,,9.1995,18.3988,4.4821,187.9222
15_dMRM_neg_050723_0024.d,15,6.6724,0.769,16.6864,23.0159,24.8961,0.1001,8.0959,47.5442,0.7443,4.8008,3.336,83.9602,,25.5548,0.9811,,13.7668,3.8658,762.8226,912.0908,16.9611,301.0081,77.4892,2155.1717,74.7354,15.9026,136.2741,64.3768,77.1122,2350.915,,2.1733,114.393,68.118,44.5239,15.9008,246.6312,232.0522,17.5235,24.7845,1224.8149,331.5924,5878.4838,4221.3746,110.8657,4117.0809,,226.7473,22.7263,7.6221,,2.9433,68.0567,1114.5358,4649.5108,29.016,136.4538,,53.9912,106.5992,13.8917,229.2438,3.3277,35.1826,30.7081,6.2985,56.556,,362.2752,13.2028,7.3419,,42.5171,1.6352,8.262,11.3168,,23.2796,48.9156,7.4341,255.1258
16_dMRM_neg_050723_0046.d,16,7.9567,0.6946,19.5377,51.9119,21.332,0.5197,7.8735,40.7566,0.5229,2.9553,2.8476,70.1836,,27.261,1.105,,12.9607,4.2228,641.9776,827.0975,13.3864,269.1612,75.3645,2082.6336,78.9227,12.4564,114.8628,61.6142,63.0917,2025.9114,,1.7038,81.5284,60.3441,34.3104,15.2128,216.9644,209.3191,17.5359,16.4363,642.179,125.2178,3649.2158,5953.5944,54.2485,1605.6921,,138.8948,15.1442,3.0891,,2.8622,34.1005,460.4262,2115.8096,16.4646,65.6136,,31.5621,112.879,7.5168,103.2391,2.4228,13.6735,29.614,3.4125,26.8003,0,191.0053,7.8343,4.7456,2.3019,28.3046,0.8791,5.0145,7.2475,,14.9639,20.93,3.9918,130.9675
17_dMRM_neg_050723_0036.d,17,12.331,0.6409,31.2699,48.5258,17.3405,0.4028,5.3291,33.7694,0.4898,3.2129,2.1134,50.0295,,25.8542,1.5401,,8.7642,1.9456,434.357,552.137,7.4421,185.1321,42.2536,1444.1934,49.7353,7.1836,75.8588,36.1149,41.2425,1144.2012,,0.8336,50.4417,58.1804,30.9819,11.8486,122.253,152.8585,13.8337,23.1555,1220.2338,200.1642,5904.5703,6062.5827,58.5482,3123.4223,,114.5324,11.4939,5.7489,,1.6011,40.9617,693.1015,2878.222,42.8578,117.6247,,41.0781,112.6939,4.6861,175.3719,1.0651,9.7348,29.2279,1.2591,58.3154,0,120.4302,11.351,9.6015,3.0538,39.4873,1.3799,5.9974,5.8183,,14.7816,23.1803,6.2966,96.2672
18_dMRM_neg_050723_0043.d,18,9.4636,0.7675,16.6483,58.6016,21.9302,0.1329,8.3043,35.2577,0.9923,4.8833,2.0182,73.6008,,25.0353,1.4951,,13.4885,2.762,598.0171,651.8149,11.8634,263.6214,50.2964,1666.5595,29.9398,9.2623,105.7634,35.027,46.797,1760.0011,,1.1749,80.0454,76.8041,30.919,8.8295,129.28,325.3686,15.7595,18.7889,966.414,99.1582,3840.1792,7103.5526,51.6822,1795.2867,,122.6749,22.3406,4.0395,,2.0314,34.6039,542.4363,1806.1968,17.05,52.8579,,48.8329,139.9544,7.2462,126.0492,0.835,19.0026,36.1916,1.812,35.619,,264.7038,10.1852,9.6372,,47.3802,1.1191,7.7371,7.237,,12.5224,22.9573,4.11,171.3533
19_dMRM_neg_050723_0040.d,19,13.4031,2.0044,16.4006,49.7761,45.0334,1.3378,9.4333,63.3696,3.3324,9.9111,11.951,155.388,0,35.0281,2.8566,0,13.897,3.7908,680.762,1067.7838,31.6025,284.6728,80.8868,2209.2945,44.6937,36.2812,167.9501,66.3366,77.2343,2655.8779,,2.4716,290.694,97.8681,109.0411,27.995,158.9489,216.6528,13.6276,19.0723,808.1719,82.4184,2967.7381,4523.7566,41.7699,1943.3394,,140.7764,17.8312,8.2902,,3.4163,42.2572,824.489,3223.6813,22.5804,92.6463,,42.5247,136.6645,5.6151,179.1011,1.339,14.9801,21.2069,2.8859,38.1866,,209.4941,17.9628,4.2683,1.7036,27.9292,2.548,4.7793,4.2321,,8.1534,17.7353,2.8911,113.5811
20_dMRM_neg_050723_0041.d,20,8.4399,2.1275,13.7912,56.8775,49.659,1.8121,10.314,72.1999,1.9353,9.0927,7.3073,134.5849,0,33.786,1.2453,,18.0682,4.5091,791.8635,1248.5181,33.0644,368.8207,101.2026,2349.6481,53.2533,38.4374,220.0158,89.3784,85.8549,3106.8859,,2.7397,215.2921,119.4467,85.3954,23.7205,208.6356,247.9857,15.7227,13.2706,739.9325,98.858,2579.2413,5562.8759,49.6382,2354.1717,,154.9509,8.1965,6.4749,,3.9287,51.6758,855.6217,4190.5543,22.749,90.197,,35.7834,145.1767,5.2206,225.5007,2.0112,22.9005,18.0831,2.8885,31.9265,0,292.0208,32.5764,6.672,,35.871,2.4258,7.3015,5.7003,,13.1828,15.6032,4.8751,148.7288
21_dMRM_neg_050723_0029.d,21,10.5228,2.334,14.9503,28.1138,39.2701,1.4609,9.6154,65.5417,5.1645,12.4577,10.9631,190.1896,0,36.2645,1.9442,0,15.7632,4.9927,849.519,1047.7058,36.2846,334.6334,102.4161,2310.2856,51.749,35.1723,199.1825,77.3938,85.1054,2537.6228,,2.2462,222.4074,113.6158,88.7668,26.6161,200.7766,225.2589,14.0424,23.0011,1656.0541,140.3288,4425.6724,3954.5767,74.0298,3212.8616,,230.7561,21.6617,14.4684,,7.0165,64.5524,1227.3358,4494.7246,25.1755,114.0643,,52.0911,134.9195,7.2756,287.7781,2.6512,40.3177,28.6784,4.3503,56.5893,,345.6603,40.213,5.3208,,41.1545,3.5033,8.5599,8.6499,,13.2195,23.8412,4.7063,206.14
22_dMRM_neg_050723_0030.d,22,10.5958,2.4291,14.5176,32.5547,37.4307,1.5491,9.439,64.0015,2.8846,9.7073,11.3218,163.3491,,25.8524,0.918,,14.095,4.161,652.4422,961.017,32.8473,293.4877,95.6316,2113.1881,50.5017,39.6613,183.5207,82.695,70.2489,2643.6504,,3.2396,259.9608,98.0338,99.8625,29.7645,233.4652,210.4594,12.7477,19.9413,1144.5559,128.9954,3729.9321,4109.0171,68.052,2770.3332,,198.9632,19.4607,13.1566,,4.1316,57.7815,1068.813,4197.7487,19.9063,100.1172,,40.7485,113.6761,7.9166,235.9282,4.5818,35.1577,29.7253,3.5896,63.7002,0,288.5563,37.2288,5.4713,,25.523,3.5991,6.9786,8.4396,,14.4237,24.1618,4.3681,155.6528
