Sample,ID,BMP 16:0-16:0 Results,BMP 16:0-16:1 Results,BMP 16:0-18:0 Results,BMP 16:0-18:1 Results,BMP 16:0-18:2 Results,BMP 16:0-18:3 Results,BMP 16:0-20:4 Results,BMP 16:0-22:6 Results,BMP 16:1-16:1 Results,BMP 16:1-20:4 Results,BMP 16:1-20:5 Results,BMP 16:1-22:6 Results,BMP 18:0-18:0 Results,BMP 18:0-18:1 Results,BMP 18:0-18:2 Results,BMP 18:0-18:3 Results,BMP 18:0-20:4 Results,BMP 18:0-20:5 Results,BMP 18:1-18:1 Results,BMP 18:1-18:2 Results,BMP 18:1-18:3 Results,BMP 18:1-20:4 Results,BMP 18:1-20:5 Results,BMP 18:1-22:6 Results,BMP 18:2-18:2 Results,BMP 18:2-18:3 Results,BMP 18:2-20:4 Results,BMP 18:2-20:5 Results,BMP 18:2-22:5 Results,BMP 18:2-22:6 Results,BMP 18:3-18:3 Results,BMP 18:3-22:5 Results,BMP 18:3-22:6 Results,BMP 20:4-20:4 Results,BMP 20:4-20:5 Results,BMP 20:5-22:5 Results,BMP 20:5-22:6 Results,BMP 22:5-22:6 Results,BMP 22:6-22:6 Results,PG 16:0-16:0 Results,PG 16:0-16:1 Results,PG 16:0-18:0 Results,PG 16:0-18:1 Results,PG 16:0-18:2 Results,PG 16:0-18:3 Results,PG 16:0-20:4 Results,PG 16:0-20:5 Results,PG 16:0-22:6 Results,PG 16:1-16:1 Results,PG 16:1-20:4 Results,PG 16:1-20:5 Results,PG 16:1-22:6 Results,PG 18:0-18:0 Results,PG 18:0-18:1 Results,PG 18:0-18:2 Results,PG 18:0-18:3 Results,PG 18:0-20:4 Results,PG 18:0-20:5 Results,PG 18:1-18:1 Results,PG 18:1-18:2 Results,PG 18:1-18:3 Results,PG 18:1-20:4 Results,PG 18:1-20:5 Results,PG 18:1-22:6 Results,PG 18:2-18:2 Results,PG 18:2-18:3 Results,PG 18:2-20:4 Results,PG 18:2-20:5 Results,PG 18:2-22:5 Results,PG 18:2-22:6 Results,PG 18:3-18:3 Results,PG 18:3-22:5 Results,PG 18:3-22:6 Results,PG 20:4-20:4 Results,PG 20:4-20:5 Results,PG 20:5-20:5 Results,PG 20:5-22:5 Results,PG 20:5-22:6 Results,PG 22:5-22:5 Results,PG 22:5-22:6 Results,PG 22:6-22:6 Results
06_dMRM_neg_050923_0035.d,6,341.5621,207.4431,179.5802,1472.0626,90.6992,3.6622,19.9313,295.3091,432.1159,35.1635,12.6945,574.8578,82.395,944.0919,42.0191,,34.5624,6.59,32401.4757,1565.3784,71.691,409.5412,108.3655,7053.3868,45.4187,,15.0459,4.7357,,250.5989,,2.6487,12.0831,5.1205,2.6015,5.8316,25.2098,365.6734,,187.1545,9605.4069,70.3876,16249.1323,410.7765,,4916.9061,11.3206,30.5289,137.2632,29.8103,,,355.6347,9093.4265,597.0108,81.4989,753.8677,6.0458,15650.2205,2988.3687,67.3118,2173.5473,19.2297,67.3394,,6.9159,13.2648,11.5848,71.985,,,,,10.8902,,,,,5.7956,,53.1695
05_dMRM_neg_050923_0040.d,5,202.8503,301.6475,212.3945,1578.1583,114.1441,4.4622,25.8477,437.4255,650.0175,58.8467,20.1779,748.3,79.5567,835.4523,27.1075,,31.0855,6.7819,41404.7033,2255.0175,94.0362,511.9335,163.3887,9771.491,53.6896,3.4998,21.9439,6.9566,22.2888,374.8373,,3.3623,20.4764,5.8132,3.001,8.4208,33.6328,505.6426,,136.2059,7532.6584,38.3672,20798.0483,457.8193,7.3905,3839.7095,20.8323,42.0265,264.3469,38.6741,,12.5574,353.7364,9201.6261,757.5825,75.3933,1063.0632,20.344,21978.6495,1201.8064,39.3533,1762.2482,33.1645,31.096,,8.8462,7.922,,108.5503,,,,,,,6.6299,,,3.5496,,43.806
20_dMRM_neg_050923_0046.d,20,1090.6979,492.9721,211.4007,3150.488,188.4511,,43.5378,553.5387,690.2001,72.8952,21.407,865.7619,90.0477,1046.5842,22.0035,,26.9384,7.6805,21747.9985,1871.2683,89.6101,432.0731,143.0547,7591.4764,54.0282,4.2472,18.2455,6.1886,,356.0607,,4.2582,23.7543,13.4889,4.2284,9.9223,38.3393,539.7414,,270.4696,17190.9657,149.1259,18085.0458,2523.6708,8.9199,11599.6191,14.9162,70.8185,193.4558,53.4605,,,305.403,8254.9731,800.9351,112.3962,1101.7757,6.3233,12336.9779,752.5201,87.5884,3395.4485,40.0677,14.27,9.4519,8.1843,14.1591,,104.7834,,,,,,,,,,6.0209,,29.4377
24_dMRM_neg_050923_0052.d,24,101.8202,233.4627,198.2199,956.2321,69.7051,,20.8968,230.1689,729.521,67.5896,29.731,876.367,37.6058,344.9355,6.1369,,23.3876,12.592,10220.4938,748.7714,56.6317,216.2702,121.2774,3650.1401,36.6711,,16.3409,10.1635,,262.3395,,6.1934,30.6762,14.7902,4.4503,7.386,52.4972,430.5266,,568.0548,1654.5874,163.1636,24287.8483,314.0481,,882.244,48.92,53.747,334.2076,88.8586,,,299.5748,7255.6031,528.3244,18.7722,978.579,,14220.7577,,170.1154,307.3081,53.7561,32.4404,,,,,111.4561,,,,,,,,,,1.093,,216.5347
27_dMRM_neg_050923_0027.d,27,272.0272,345.2761,187.5928,1640.5069,132.6286,,28.2022,377.2863,436.7584,44.095,17.4807,634.7193,68.8616,866.2432,21.6426,,22.4783,5.1923,17633.8129,1342.8548,60.4739,445.0587,100.0889,5593.5854,46.019,1.7016,17.4852,4.9205,15.1722,255.7987,,3.3822,22.1956,9.9125,3.1694,9.4801,31.4417,486.2605,3.1072,238.5909,11038.8359,117.678,14689.0087,172.6342,4.8647,6917.2966,11.1749,55.0348,124.5254,53.3526,3.309,,299.4968,7678.9847,674.2922,72.6956,933.987,7.096,8881.7183,1937.5766,,1843.0556,21.0887,16.8974,,4.7307,12.5058,8.7498,82.8332,,,,,29.2856,,,,,4.3974,,21.5978
23_dMRM_neg_050923_0021.d,23,335.3664,356.381,169.7942,1681.8092,123.6412,5.7665,24.9106,369.2118,450.268,41.3407,11.7034,520.2191,69.5028,855.6407,43.4888,,17.5381,5.7853,18640.3926,1310.9119,66.1158,294.7116,93.3462,5106.9399,50.1277,2.4045,16.8556,5.864,,228.8331,,1.8354,13.6686,10.1378,2.5704,5.7642,27.0367,376.0804,2.5251,356.3991,18103.0335,195.9234,15239.7791,162.2436,5.3228,12890.1612,20.9466,66.295,138.2224,47.8186,,,293.5209,8605.9141,737.1671,110.304,969.9084,17.7144,10165.4804,5565.2461,7.7943,3089.0233,29.7523,48.4633,5.2113,6.7501,14.2835,,70.0014,,,,,4.643,,,,,6.4218,,24.8333
02_dMRM_neg_050923_0028.d,2,180.6936,280.0327,203.2438,1688.9251,120.3355,5.3342,27.1841,355.6611,491.7206,47.3839,18.3873,703.6994,64.6693,710.4441,42.6626,,28.7639,10.4771,29003.6435,1965.2422,96.9981,463.5416,155.4057,9259.233,66.3717,9.0972,21.9004,7.181,25.6954,361.65,,3.1689,15.2114,6.0288,2.7462,8.3244,37.116,563.5226,,155.7209,7797.1316,58.1064,18075.422,179.9385,7.7898,4277.6275,9.583,36.9842,196.827,36.4659,,10.4641,288.5722,7372.9659,614.9323,63.0671,759.7498,7.5233,18761.0902,2814.3241,13.4813,1838.1461,21.929,23.7494,,10.0522,10.287,15.9633,99.3594,,,0,,13.8054,,,,,5.0106,,48.848
19_dMRM_neg_050923_0056.d,19,616.8806,371.9852,197.5823,2024.2484,151.2062,6.7126,37.1511,456.5779,513.2723,44.8098,17.198,627.7978,76.065,961.4588,18.8136,,30.5556,7.1889,18509.0898,1580.2785,66.0569,445.8896,116.7931,6303.6058,31.7905,4.2352,19.3956,6.9004,,282.651,,3.6648,14.981,7.7697,4.019,10.711,36.022,463.7836,3.3859,226.9326,9949.2293,128.3744,15182.1357,1348.3487,4.0324,7291.1962,16.0743,55.1326,160.7543,39.3518,,,274.8264,7080.9896,669.4815,84.0553,1015.1464,8.1078,9377.0071,169.9099,131.3197,2154.2364,25.8594,55.3023,7.1682,5.8887,8.6941,,78.8524,,,,,,,,,,6.8137,,27.9257
28_dMRM_neg_050923_0058.d,28,572.4028,395.7336,167.6185,2236.7203,143.7686,4.4133,34.0477,418.4467,628.3667,49.003,20.2367,723.2047,57.7889,653.4124,8.7303,,27.4848,6.8239,14507.2606,1371.7133,76.6802,356.9329,115.058,6180.6123,22.1512,,18.566,6.2529,,227.8898,,4.0379,16.4215,10.0963,3.8817,8.565,34.7257,483.6229,3.5966,300.72,13376.7113,133.5256,17055.5084,1915.2893,10.4923,7227.4075,25.1616,66.9707,266.2099,63.5863,3.7757,,266.6355,7192.3925,634.529,87.9909,1019.5709,16.1162,12690.1051,257.4358,,2608.2601,35.7685,60.98,8.6785,10.4071,10.8186,8.5014,102.5921,,,,,,,,,,4.3955,,27.9845
25_dMRM_neg_050923_0022.d,25,261.6657,357.4281,160.7542,1373.9903,119.3463,5.5632,33.8305,343.6057,428.1347,50.2111,13.722,665.6437,58.1712,677.3753,31.2289,,18.1787,7.4526,15651.5112,1224.3504,22.3903,287.7433,100.4318,5233.9407,45.746,4.6314,20.1193,5.0873,17.5997,269.5564,,,18.6004,10.3087,2.9686,6.9248,34.9583,487.3397,3.5662,401.5984,13250.3733,217.4841,16062.2036,256.2935,,8371.0183,15.4978,69.2031,220.4131,55.8496,4.5791,,263.9243,7173.2283,603.2122,77.3924,919.136,8.253,9741.7178,3691.8736,,2143.81,24.0917,23.1195,,7.2409,9.5858,,98.9339,,,,,26.0722,,6.8963,,,2.8698,,51.8953
