Proteomics,RNA,ChIP
a2m,ngfr,Lrrc4c
aamdc,lhx2,Mir101c
abca3,cdh1,Gm5458
abcb9,cdh4,Ly6c2
abcc10,tmprss2,Fgf14
abcd4,pdgfb,Mrgprd
abhd17b,sox9,Gm14496
acp2,myo18a,Vmn1r238
acpp,usp32,P2rx7
actr3,hip1r,Rn45s
actr5,slc13a2,Sfi1
adam10,col6a1,Pisd-ps1
adam9,ckb,Ackr2
adamts1,mef2d,2810429I04Rik
adsl,ell2,Nudt7
adss,fkbp10,Gm8579
aga,tat,2700054A10Rik
agtrap,smo,A630001O12Rik
ahsg,tspan33,Gpm6a
akr1a1,lrp3,Zfp825
akt1s1,ltbp1,Gadd45b
angel1,taco1,Mknk2
ankrd40,bbc3,Nxph4
ankrd54,mov10,Ftl1
ap3b1,rec8,Rpl19
ap3m1,armc6,1700120C14Rik
ap3s1,hltf,Sdsl
ap5b1,nudt14,Dapk1
ap5m1,hdgfrp2,Dux
ap5s1,mcm2,4922502H24Rik
ap5z1,cd36,Axin2
apeh,car11,Slc25a47
aph1a,dlgap1,Eif1a
aplp2,btbd2,Myom1
apob,grik5,Slc25a51
app,inmt,Mapkapk2
appl1,dusp3,Zfp655
arhgap8,cyp17a1,Slc45a1
arhgef40,rps6ka1,Trib1
arl13b,insig2,Slc16a14
arl15,kif20a,Noct
arl8a,hlf,Synpo
arl8b,stat3,Elmod3
armc10,dnmt1,Smo
arsa,cacna1e,G630071F17Rik
arsb,hif3a,Herpud1
arsk,gpx6,Gpr19
as3mt,ctse,Npy2r
asah1,cd33,Gm15441
asmtl,thop1,Inhbc
asns,slc2a9,Tacc2
atat1,wisp1,Irf2bp2
ate1,prlr,Snord116l2
atp11a,slc1a3,Rn4.5s
atp11b,hmox1,Por
atp11c,atp4a,Ppara
atp13a2,mthfd2,Il1r1
atp2c1,nr1i3,Pisd-ps2
atp6ap1,cd247,Gm12596
atp6v0a1,rfx5,Srrm4os
atp6v0a2,ctns,Cog6
atp6v0c,fam131c,Hyi
atp6v0d1,pdk1,Ppp2r5a
atp6v1a,mvd,Hnf4aos
atp6v1b2,prkag3,Atxn2
atp6v1c1,atp7b,Acaa1b
atp6v1d,d130043k22rik,Mir7661
atp6v1e1,krt23,Srsf4
atp6v1f,ttc25,Ldha
atp6v1g1,lsm2,Nr1i2
atp6v1h,zfp775,Glt1d1
atp7b,cav1,Spag9
atp8a1,ift43,Pla2g6
atp9a,ift22,Csrp3
atraid,mid1ip1,Shld1
atrn,fbxw9,E230029C05Rik
atxn3,nfib,Mlana
b3galt6,tmem184b,Apoa4
b3gat3,dqx1,Ubb
b4galt1,ube2g2,Adipor2
b4galt7,slc16a12,Slc25a33
b4gat1,elk1,Zfp36
bach1,tmem86a,Galnt2
bcar1,eya4,BB123696
becn1,apol7a,Ptp4a1
blmh,pigyl,Slc12a3
bloc1s1,vac14,Mir12196
bloc1s2,aim1l,Coq10a
bloc1s6,ehf,Mbd6
brd9,mlkl,A530013C23Rik
bri3,ptprs,Ccny
brox,klhl3,4930480G23Rik
btk,tmem87b,Pisd
c10orf32,map3k4,Il23r
c10orf88,csf1,Mat1a
c15orf39,elmo3,Eda
c17orf59,lrrk1,9230019H11Rik
c18orf8,actn1,Alas1
c1galt1,pcolce2,Rwdd3
c1orf123,clpx,Ptpn1
c1orf131,c4a,Gm30173
c1orf174,hivep2,Gpam
c2orf44,rxrg,Mir101b
c3orf58,gatsl2,Klf9
c4a;c4b,lbp,Dido1
c5orf45,plgrkt,Slc25a42
c6orf106,gtf3a,Map3k7cl
c9orf114,mapkapk2,Mcfd2
c9orf72,brca1,Uox
c9orf91,cntnap1,Cpt1a
calcoco2,plxdc1,Gm12018
calml5,rarb,Ugt1a1
camkk2,wsb1,Neat1
cant1,serinc3,2610005L07Rik
casc3,tha1,Zbtb16
casc4,pltp,Slc7a2
cbs,hnf4a,Tmem56
ccbl1,med1,Sec14l2
ccdc59,vmp1,Ceacam16
ccm2,mtmr4,9130221F21Rik
ccz1b;ccz1,wwc1,4933431G14Rik
cd2ap,slc22a5,Rpia
cd3eap,ccl6,Cyp8b1
cd47,slc25a22,Elovl5
cd55,etnppl,D630033O11Rik
cd63,sec14l4,Dlgap2
cdk13,gipc1,Smgc
cenpf,arhgef25,Pdk4
cgn,rcn3,Asmt
chpf2,pdk4,Scp2
chst14,esr1,Acsl1
cir1,fuca2,1300002E11Rik
clcn3,slc16a10,Sco2
clcn5,aim1,Ankrd33b
clcn7,lin7a,Prf1
clic6;clic5,x1700040l02rik,Ranbp3l
cln3,sgk1,Tbl1xr1
cln5,ahi1,Serpinf2
cmss1,ctgf,Lpin1
col4a1,vnn3,Mrtfb
col4a2,cfap54,Rhbdd2
commd2,socs2,Serping1
coro7,tcp11l2,6030466F02Rik
cpd,cry1,Gm33337
cpe,pah,Igf1
cpq,igf1,Ppp1r9a
cpvl,slc16a7,Slc27a2
creg1,ddit4,C130026I21Rik
crkl,pcsk4,Hjurp
crtc1,apc2,Mir6546
crtc2,gamt,Trpm3
crtc3,mum1,Lamb3
csnk1g3,cobl,Vps13d
ctbs,rab36,Mir3473g
ctps1,phlda1,Tob2
ctsa,mdm1,Mir33
ctsb,col6a2,Cdk1
ctsc,glt8d2,Asl
ctsd,slc36a1,Gm13363
ctsh,adarb1,2810032G03Rik
ctsl,x1810043g02rik,Cdpf1
ctss,cpeb4,Tarbp1
ctsv,tnip1,Cyp2f2
ctsz,tns3,Igfbp1
cux1,btg2,Lifr
cwc25,igfbp1,Cebpb
cwf19l2,adcy1,Mir1894
cxcr4,osbp2,Cldn14
daglb,pold2,Mir21a
ddit4,zkscan17,Nkx2-6
ddx41,xbp1,Sdc4
ddx52,ppm1d,Wdr5
ddx55,acaca,Tat
dgke,shmt1,Hsbp1
dhfr,srebf1,Tcp10c
dhx35,nampt,Oaf
dimt1,pum2,Nfkbia
dirc2,rgs9,Eea1
dnaaf2,slc7a15,Coq8a
dnajb6,rnf144a,Nudt9
dnajc21,slc26a4,Slc25a25
dnajc5,grhl1,Igfbp2
dnase2,sh3yl1,Pim3
dnph1,mmp28,Apoa1
dpp3,ern1,Parvaos
dram2,galk1,Insig2
dsc2,fbf1,Prrc2b
dsg1,cygb,Trp53inp1
e4f1,x0610010k14rik,Sall3
ece1,slc6a4,Plin2
egfr,rflnb,Cln8
eif4e2,rph3al,Stat5b
eif4ebp1,ctc1,Gadd45g
eif4enif1,ntn1,Cccd201
eif5a,acly,Ctif
eno1,pole2,Ttr
eno2,fut8,Ilrun
enpp4,dhrs7,Ak2
ephb2,glrx5,Abca13
epn2,slc10a1,1110015O18Rik
ercc6l,x9030617o03rik,Errfi1
ergic2,fbln5,Rdh16
ergic3,ifi27l2b,Dap
ext2,papln,Gpcpd1
extl2,acot3,Cyp4a32
extl3,fam161b,A530032D15Rik
fam204a,fos,Gm5424
fam20b,x0610007p14rik,Hnf4a
fam3a,tgfb3,Ubr4
fam3c,cyp46a1,Cisd1
fam69b,hhipl1,Acox1
fam84b,fdft1,Ten1
fau,tecpr2,Rsrp1
fdps,spin1,Trpm8
fkbp15,cep72,Dgat2
fkbp7,mctp1,Aass
fkrp,tert,Sp110
flcn,hapln1,Abcd3
flg2,cd180,Tns1
flnb,arhgef28,Wbp1l
flot1,fam107a,Chat
flot2,fst,Kcnk16
fnip1,rgr,Aldh1l1
fnip2,plau,Cyp2d9
foxm1,anxa11,Slc38a3
frg1,hacl1,Mpzl2
frrs1,sh3bp5,Fam32a
fth1,spata13,Mettl8
ftl,cnmd,Pmepa1
fuca1,scara5,Gm29669
fuca2,chrna2,Arsg
fut8,dpysl2,Gm7854
fyco1,pdlim2,0610040F04Rik
fyn,ednrb,Gm4262
fzd7,mbnl2,Tbc1d1
gaa,fyb,Brap
gabarapl1,c9,Scara5
gabarapl2,dab2,Zmiz1
galns,slc7a8,Naa16
galnt1,c6,Cyp17a1
galnt11,fitm1,Gm15638
galnt2,tgm1,Jun
galnt7,ankrd33b,Cbfa2t3
gap43,fam134b,Smim18
gapdh,ywhaz,Ttc39c
gars,slc30a8,Redrum
gba,myc,Ccdc12
gdap2,sqle,Apoc3
ggcx,fbxo32,Mir3075
ggh,gm29394,Sord
ggt7,tbc1d31,NA
gja1,asap1,Pomgnt2
gjc1,ttll8,Gm10354
gla,zc3h7b,Retsat
glb1,fam83f,Lpin2
glce,deptor,Atg7
glg1,sh3bp1,Cdh11
glmp,slc38a2,Vwa8
glo1,ciita,Sec24a
gm2a,bcl6,Slc6a9
gmpr2,nudt16l1,Eef1a1
gnai1,lynx1,Hnf1b
gnai2,mpv17l,Grhpr
gnai3,parn,Gm2447
gnb1,slc7a4,Dctpp1
gnb2,ncam2,Tob1
gnl1,osbpl11,Gm46545
gnl3l,umps,Apbb2
gns,itgb5,Ppargc1b
golga2,btg3,Mycl
golga3,robo1,Creb3l3
golga4,cd86,Ppp2r1b
golga5,arl13b,Slc38a4
golga7,dopey2,Dnmbp
golim4,setd4,Fbxo15
golm1,ifngr2,Bcl6
gorasp1,adcy6,Klf15
gorasp2,lmbr1l,Runx1
got1,asic1,Nr2c2ap
gpatch1,cox14,Hspb8
gpatch4,cela1,Lpcat3
gpc6,nr4a1,Vps26c
gpm6a,cdkn1a,Sirt3
gpr107,slc10a2,Rap2b
gpr137,sult1c2,Leprot
gprasp1,creld2,44986
gprc5b,acat2,Ttpa
gprc5c,sgol1,Angptl4
grb10,cyp39a1,Pik3c2g
grn,fbxl17,Phospho1
gss,nfya,Zpr1
gstp1,fgd2,Slco1a4
gstz1,tff3,Dtx4
gtpbp2,sik1,Loxl2
gusb,emilin2,Hps4
haus4,telo2,Gjb2
heg1,dusp1,Cyp2d22
herc2,thada,Mir203
